State,County,Population 18 to 24 years,Less than high school graduate (Population 18 to 24 years),High school graduate (Population 18 to 24 years),Some college or associate's degree (Population 18 to 24 years),Bachelor's degree or higher (Population 18 to 24 years),Population 25 years and over,Less than 9th grade (Population 25 years and over),9th to 12th grade (Population 25 years and over),High school graduate (Population 25 years and over),Some college no degree (Population 25 years and over),Associate's degree (Population 25 years and over),Bachelor's degree (Population 25 years and over),Graduate or professional degree (Population 25 years and over),High school graduate or higher (Population 25 years and over),Bachelor's degree or higher (Population 25 years and over),Population 25 to 34 years,High school graduate or higher (Population 25 to 34 years),Bachelor's degree or higher (Population 25 to 34 years),Population 35 to 44 years,High school graduate or higher (Population 35 to 44 years),Bachelor's degree or higher (Population 35 to 44 years),Population 45 to 64 years,High school graduate or higher (Population 45 to 64 years),Bachelor's degree or higher (Population 45 to 64 years),Population 65 and over,High school graduate or higher (Population 65 and over),Bachelor's degree or higher (Population 65 and over),Less than high school grad poverty rate (age 25+),High school grad poverty rate (age 25+),Some college or associate's degree poverty rate (age 25+),Bachelor's degree or higher poverty rate (age 25+),Population 25 years and over with earnings median earnings,Less than high school grad median earnings,High school grad median earnings,Some college or associate's degree median earnings,Bachelor's degree median earnings,Graduate or professional degree median earnings,FID
Missouri,Phelps,"7,891",8.4%,17.9%,66.8%,6.9%,"26,750",5.8%,8.3%,33.3%,21.3%,6.0%,14.8%,10.5%,85.9%,25.3%,"4,922",95.1%,27.3%,"5,113",88.5%,28.5%,"10,649",88.9%,26.1%,"6,066",71.1%,19.4%,27.1%,12.4%,11.9%,3.8%,"27,436","18,243","24,832","25,081","33,189","50,148",1176
Missouri,Pike,"1,600",27.4%,36.6%,27.9%,8.1%,"12,779",8.3%,12.1%,43.1%,19.0%,4.8%,9.3%,3.3%,79.5%,12.6%,"2,358",80.2%,11.0%,"2,388",82.0%,13.4%,"5,266",81.8%,14.2%,"2,767",72.5%,10.2%,24.7%,8.7%,12.1%,3.0%,"26,405","11,691","27,518","26,006","36,350","41,157",1179
Missouri,Platte,"7,182",11.1%,24.6%,51.3%,12.9%,"58,211",1.4%,4.5%,24.7%,24.7%,7.7%,24.7%,12.2%,94.1%,36.9%,"11,039",93.3%,44.7%,"12,993",96.3%,43.8%,"24,831",95.7%,34.9%,"9,348",87.7%,23.2%,13.6%,7.0%,4.3%,3.0%,"42,646","23,603","31,759","40,229","50,311","65,791",1181
Missouri,Polk,"3,561",11.2%,30.1%,50.4%,8.4%,"19,570",6.3%,14.2%,38.4%,19.6%,4.9%,10.8%,5.9%,79.5%,16.6%,"3,249",90.1%,24.6%,"3,705",81.3%,17.2%,"7,701",82.3%,16.7%,"4,915",66.9%,10.8%,30.9%,17.0%,12.3%,6.1%,"25,147","15,644","22,325","23,367","33,144","48,021",1183
Missouri,Pulaski,"11,250",8.4%,50.3%,38.2%,3.0%,"26,113",4.3%,7.6%,34.0%,25.7%,10.0%,11.5%,6.9%,88.1%,18.4%,"7,979",93.3%,21.5%,"5,795",92.5%,15.5%,"8,583",88.9%,21.9%,"3,756",68.6%,8.3%,28.9%,15.0%,7.6%,3.2%,"30,607","19,691","25,067","32,964","37,012","51,964",1185
Missouri,Putnam,298,14.1%,53.4%,22.1%,10.4%,"3,464",4.9%,9.3%,43.8%,18.6%,7.9%,8.7%,6.8%,85.8%,15.6%,538,92.9%,14.1%,672,95.4%,22.0%,"1,367",84.5%,15.9%,887,76.2%,11.0%,39.0%,15.9%,9.8%,11.1%,"24,042","21,181","18,646","27,929","31,500","31,797",1188
Missouri,Ralls,666,18.2%,33.9%,44.4%,3.5%,"7,136",3.2%,12.3%,46.7%,17.9%,3.8%,12.9%,3.2%,84.5%,16.1%,"1,028",87.1%,25.7%,"1,298",84.6%,15.2%,"3,190",86.4%,18.1%,"1,620",79.1%,6.7%,21.2%,7.6%,5.4%,3.3%,"28,239","16,500","26,074","27,155","36,979","63,250",1191
Missouri,Randolph,"2,316",24.3%,31.0%,39.5%,5.2%,"17,194",5.7%,12.2%,41.3%,22.4%,6.8%,8.1%,3.6%,82.2%,11.7%,"3,460",80.1%,12.1%,"3,516",81.9%,10.2%,"6,687",88.3%,15.0%,"3,531",72.8%,6.7%,30.0%,11.2%,11.3%,6.5%,"25,629","16,786","24,100","25,398","34,366","43,750",1194
Missouri,Ray,"1,838",18.8%,38.2%,34.6%,8.4%,"15,765",4.1%,9.8%,44.4%,21.6%,6.5%,7.8%,5.8%,86.1%,13.5%,"2,506",93.7%,14.0%,"3,264",85.1%,16.4%,"6,666",88.9%,14.0%,"3,329",75.6%,9.6%,18.5%,8.3%,6.4%,0.1%,"34,547","26,009","32,553","36,686","35,324","50,756",1197
Missouri,Reynolds,456,22.4%,51.1%,21.9%,4.6%,"4,707",9.9%,17.3%,42.6%,17.0%,6.5%,3.5%,3.2%,72.8%,6.7%,633,85.6%,6.8%,813,76.6%,5.0%,"1,978",78.1%,6.5%,"1,283",56.0%,8.0%,21.1%,18.2%,13.2%,8.4%,"25,518","21,538","23,415","27,500","35,000","58,750",1200
Missouri,Ripley,"1,065",27.8%,34.2%,31.5%,6.5%,"9,632",11.1%,18.3%,38.7%,14.3%,5.4%,8.1%,4.1%,70.6%,12.2%,"1,522",79.6%,10.8%,"1,685",75.3%,12.3%,"3,840",72.1%,10.8%,"2,585",60.0%,14.9%,34.1%,18.1%,9.6%,3.7%,"19,820","15,792","18,593","22,802","28,765","42,115",1203
Missouri,St. Charles,"30,448",14.6%,31.0%,43.3%,11.2%,"228,191",2.4%,5.5%,27.4%,23.3%,8.0%,22.5%,10.8%,92.2%,33.4%,"45,731",95.0%,45.5%,"52,417",95.0%,38.9%,"92,825",94.6%,31.0%,"37,218",78.5%,16.6%,11.1%,5.3%,3.6%,1.5%,"42,385","22,255","32,293","40,184","53,697","63,557",1205
Missouri,St. Clair,612,29.1%,46.2%,22.1%,2.6%,"7,163",6.7%,10.4%,47.8%,16.1%,4.9%,8.7%,5.4%,82.9%,14.1%,807,93.8%,17.3%,"1,096",88.3%,16.6%,"3,046",86.7%,15.6%,"2,214",71.0%,9.7%,20.5%,17.8%,13.0%,3.5%,"22,876","13,977","21,341","23,412","31,579","44,952",1208
Missouri,Ste. Genevieve,"1,398",20.8%,31.9%,43.3%,3.9%,"12,583",8.1%,10.8%,42.7%,19.0%,7.7%,8.1%,3.6%,81.1%,11.6%,"1,912",90.4%,23.0%,"2,379",88.4%,11.6%,"5,439",85.3%,11.3%,"2,853",60.9%,4.8%,20.2%,8.2%,7.8%,1.6%,"30,215","21,258","26,238","31,393","52,551","47,426",1209
Missouri,St. Francois,"5,991",29.6%,40.3%,28.3%,1.8%,"44,083",6.7%,14.1%,35.5%,21.1%,7.8%,9.3%,5.5%,79.2%,14.8%,"9,262",81.9%,13.7%,"8,885",82.2%,15.9%,"16,769",84.3%,16.6%,"9,167",64.4%,11.3%,23.2%,14.2%,10.6%,2.7%,"27,636","16,992","24,125","28,582","39,301","49,341",1212
Missouri,St. Louis County,"87,211",15.2%,28.9%,41.4%,14.5%,"673,957",3.2%,6.1%,23.2%,21.6%,6.8%,23.5%,15.6%,90.7%,39.1%,"120,010",92.7%,43.6%,"130,076",93.5%,44.9%,"277,729",93.2%,40.9%,"146,142",81.9%,26.6%,22.1%,9.5%,6.6%,2.9%,"38,653","20,387","27,425","34,094","49,205","65,410",1216
Missouri,Saline,"2,726",15.8%,21.9%,56.6%,5.8%,"15,046",7.8%,12.5%,37.9%,18.9%,5.3%,11.6%,6.1%,79.8%,17.7%,"2,591",82.7%,19.6%,"2,720",86.3%,20.6%,"6,072",79.1%,19.5%,"3,663",73.9%,11.0%,31.1%,12.0%,12.6%,4.5%,"26,082","20,354","25,123","23,600","33,750","40,086",1218
Missouri,Schuyler,408,7.6%,57.1%,26.2%,9.1%,"2,930",6.3%,6.7%,49.4%,20.4%,7.6%,6.8%,2.8%,87.0%,9.6%,493,97.6%,15.6%,375,93.1%,12.0%,"1,051",91.1%,10.7%,"1,011",75.5%,4.5%,31.9%,15.4%,14.8%,4.6%,"22,449","12,344","21,177","23,068","27,330","39,844",1221
Missouri,Scotland,308,30.5%,19.5%,50.0%,0.0%,"3,191",13.9%,4.6%,41.0%,17.2%,5.6%,13.7%,4.1%,81.5%,17.8%,441,72.8%,15.4%,586,73.0%,20.5%,"1,281",94.7%,26.3%,883,72.5%,4.9%,36.6%,13.7%,12.3%,4.6%,"26,285","16,250","24,205","24,063","32,672","49,375",1224
Missouri,Scott,"3,205",30.9%,35.9%,27.8%,5.5%,"26,119",10.8%,13.4%,42.7%,16.9%,2.5%,9.3%,4.4%,75.8%,13.7%,"4,765",83.1%,16.4%,"5,241",81.8%,17.8%,"10,361",80.7%,13.9%,"5,752",55.3%,7.3%,31.5%,11.8%,13.9%,3.4%,"26,643","16,145","24,367","27,400","39,453","43,770",1227
Missouri,Shannon,669,27.8%,41.4%,30.8%,0.0%,"5,717",10.4%,13.2%,41.9%,18.7%,2.1%,8.7%,5.0%,76.4%,13.7%,774,84.8%,13.7%,"1,041",81.3%,18.3%,"2,533",79.5%,15.4%,"1,369",61.9%,7.1%,31.8%,15.2%,26.3%,3.2%,"20,928","15,575","21,081","14,906","31,458","36,938",1229
Missouri,Shelby,455,29.7%,36.3%,31.6%,2.4%,"4,397",4.5%,6.9%,44.9%,23.9%,6.3%,8.5%,4.8%,88.6%,13.4%,670,93.3%,22.1%,707,96.6%,13.3%,"1,766",90.0%,13.1%,"1,254",79.5%,9.1%,19.2%,9.6%,11.3%,3.2%,"24,173","14,375","22,155","26,025","31,707","30,809",1232
Missouri,Stoddard,"2,531",31.9%,35.9%,28.5%,3.7%,"20,624",10.9%,14.1%,42.8%,15.7%,4.9%,7.2%,4.5%,75.0%,11.7%,"3,496",82.4%,15.1%,"3,789",83.2%,13.5%,"8,034",80.9%,12.7%,"5,305",55.6%,6.8%,27.9%,12.2%,11.0%,2.9%,"25,805","15,829","22,386","29,063","34,386","41,588",1236
Missouri,Stone,"1,860",30.5%,45.1%,19.4%,5.1%,"23,933",4.4%,12.2%,37.0%,22.8%,6.8%,10.5%,6.3%,83.4%,16.8%,"2,667",79.9%,10.3%,"3,567",81.7%,15.3%,"10,463",87.7%,15.5%,"7,236",79.2%,21.8%,31.7%,11.9%,8.5%,2.5%,"21,076","17,064","19,145","22,856","33,369","23,125",1237
Missouri,Sullivan,438,26.7%,50.9%,22.1%,0.2%,"4,640",8.3%,10.8%,45.1%,20.0%,6.0%,7.0%,2.9%,80.9%,9.9%,787,80.6%,6.6%,905,79.8%,11.8%,"1,813",84.2%,12.7%,"1,135",76.8%,6.2%,31.3%,13.2%,19.8%,5.4%,"21,243","16,161","19,460","21,214","34,231","42,986",1240
Missouri,Taney,"4,726",12.7%,26.0%,54.9%,6.4%,"33,674",4.3%,9.2%,35.5%,25.9%,5.1%,14.3%,5.7%,86.6%,20.0%,"5,797",90.5%,20.6%,"5,912",87.8%,26.8%,"13,429",88.8%,19.4%,"8,536",79.5%,15.7%,26.0%,14.0%,7.4%,4.6%,"22,739","15,390","19,820","22,219","31,919","46,033",1242
Missouri,Texas,"2,182",31.2%,48.0%,18.5%,2.3%,"17,654",6.9%,13.7%,44.3%,18.9%,4.5%,8.3%,3.5%,79.4%,11.8%,"2,818",78.6%,12.6%,"3,023",87.1%,13.6%,"7,270",81.0%,13.3%,"4,543",72.2%,7.7%,35.0%,16.4%,13.4%,6.9%,"22,568","15,356","20,809","24,173","32,295","40,404",1245
Missouri,Vernon,"1,823",19.7%,46.1%,28.1%,6.1%,"13,833",6.3%,9.6%,45.8%,18.7%,5.4%,8.9%,5.5%,84.1%,14.3%,"2,274",84.1%,17.6%,"2,493",89.5%,14.1%,"5,699",86.8%,16.3%,"3,367",75.6%,9.0%,25.0%,17.0%,11.1%,6.4%,"22,156","15,860","20,394","22,177","33,939","56,940",1248
Missouri,Warren,"2,506",23.1%,38.8%,35.8%,2.3%,"21,180",5.4%,11.6%,38.4%,20.4%,7.4%,10.4%,6.5%,83.0%,16.9%,"3,736",85.9%,19.1%,"4,113",83.9%,18.2%,"8,751",88.8%,18.0%,"4,580",68.7%,11.7%,20.6%,8.4%,7.2%,3.2%,"32,185","23,065","27,173","35,349","40,049","52,525",1251
Missouri,Washington,"2,083",32.9%,44.5%,22.6%,0.0%,"16,802",13.1%,16.6%,41.7%,16.7%,4.2%,4.5%,3.2%,70.3%,7.7%,"3,067",81.7%,10.7%,"3,517",76.8%,5.7%,"6,990",71.5%,7.9%,"3,228",49.9%,6.6%,24.4%,17.7%,13.7%,3.7%,"28,531","26,883","25,516","31,059","31,924","47,831",1253
Missouri,Wayne,"1,003",20.2%,44.8%,31.7%,3.3%,"9,607",13.0%,14.1%,40.3%,17.7%,6.3%,6.0%,2.6%,72.9%,8.7%,"1,207",90.7%,11.6%,"1,590",82.1%,13.4%,"3,970",79.4%,9.2%,"2,840",51.1%,4.0%,31.2%,17.7%,10.6%,0.7%,"25,081","13,770","23,272","26,937","31,354","47,008",1256
Missouri,Webster,"2,792",29.3%,43.6%,25.1%,2.1%,"22,902",5.8%,12.0%,40.1%,21.4%,5.9%,9.2%,5.5%,82.2%,14.7%,"4,129",82.9%,9.0%,"4,936",86.8%,22.5%,"9,311",85.4%,14.4%,"4,526",69.8%,11.8%,28.2%,13.2%,8.0%,3.1%,"27,567","15,951","25,296","27,695","37,585","44,778",1258
Missouri,Worth,220,15.5%,44.5%,25.0%,15.0%,"1,536",3.5%,11.0%,49.0%,20.8%,3.0%,10.8%,2.0%,85.5%,12.8%,139,75.5%,18.7%,234,93.6%,17.5%,672,91.8%,16.4%,491,76.0%,3.9%,30.4%,8.8%,15.4%,0.0%,"23,778","27,600","23,233","19,926","27,344","36,500",1261
Missouri,Wright,"1,439",35.4%,37.0%,25.7%,1.9%,"12,427",10.7%,12.9%,41.3%,18.9%,4.8%,7.1%,4.2%,76.3%,11.3%,"1,844",79.7%,8.9%,"2,239",80.7%,15.5%,"5,189",82.7%,15.0%,"3,155",60.8%,3.7%,26.7%,22.1%,15.2%,9.9%,"21,918","17,838","19,223","22,052","30,880","50,802",1263
Missouri,St. Louis City,"37,748",18.6%,28.6%,37.3%,15.5%,"209,910",6.2%,13.3%,27.1%,20.7%,5.8%,15.4%,11.5%,80.6%,26.9%,"55,004",87.2%,39.3%,"41,418",84.5%,28.6%,"77,278",81.8%,23.2%,"36,210",63.4%,14.0%,34.9%,22.8%,17.4%,8.4%,"29,603","16,254","22,387","27,955","40,793","51,173",1266
Montana,Beaverhead,"1,284",14.3%,25.5%,59.7%,0.6%,"5,987",2.9%,5.3%,29.6%,24.5%,7.3%,20.9%,9.5%,91.8%,30.4%,805,92.2%,27.2%,963,95.7%,35.6%,"2,763",93.8%,31.8%,"1,456",85.4%,26.2%,10.7%,15.5%,7.8%,5.3%,"24,212","13,750","20,484","24,392","27,106","50,372",1269
Montana,Big Horn,"1,306",27.1%,33.2%,36.3%,3.4%,"7,144",5.0%,11.4%,35.7%,27.7%,7.6%,7.4%,5.1%,83.6%,12.6%,"1,207",79.1%,2.9%,"1,562",85.8%,9.3%,"3,073",88.1%,16.8%,"1,302",74.6%,15.6%,36.8%,18.0%,15.2%,9.5%,"23,750","13,800","20,855","26,651","35,370","42,981",1274
Montana,Blaine,589,27.0%,45.0%,28.0%,0.0%,"3,943",5.3%,9.3%,30.5%,27.2%,10.4%,13.9%,3.3%,85.4%,17.2%,678,84.1%,17.7%,704,84.8%,20.3%,"1,694",90.0%,16.3%,867,78.0%,16.1%,32.0%,25.0%,17.6%,9.8%,"25,446","11,534","21,700","25,349","32,358","36,094",1124
Montana,Broadwater,378,50.8%,29.1%,18.0%,2.1%,"3,501",4.6%,5.6%,46.5%,23.8%,4.3%,12.5%,2.8%,89.8%,15.2%,327,94.8%,7.0%,777,96.3%,20.7%,"1,507",92.0%,16.2%,890,78.5%,11.8%,10.6%,11.9%,5.5%,4.7%,"26,932","28,636","22,566","27,576","33,382","43,611",1132
Montana,Carbon,527,16.7%,63.0%,10.4%,9.9%,"7,347",3.3%,5.3%,36.0%,19.8%,7.1%,21.7%,6.8%,91.3%,28.5%,915,96.2%,26.0%,"1,156",93.3%,29.0%,"3,514",93.7%,33.2%,"1,762",82.9%,20.0%,18.7%,15.8%,7.0%,6.9%,"25,958","22,180","21,581","26,096","30,092","35,278",1137
Montana,Carter,67,35.8%,62.7%,1.5%,0.0%,996,4.1%,4.8%,37.4%,30.3%,8.1%,10.7%,4.4%,91.1%,15.2%,76,97.4%,28.9%,134,92.5%,3.7%,462,96.5%,16.7%,324,81.2%,14.5%,12.9%,12.4%,11.0%,14.1%,"19,391","18,864","16,250","21,985","25,750","5,000",1141
Montana,Cascade,"8,219",15.5%,36.0%,42.1%,6.4%,"53,534",2.4%,6.8%,30.4%,27.1%,9.4%,16.5%,7.4%,90.8%,23.9%,"10,124",93.9%,24.7%,"9,317",94.3%,22.3%,"21,829",93.3%,26.9%,"12,264",81.1%,19.0%,20.9%,10.8%,11.8%,4.6%,"28,262","17,257","23,555","27,568","35,614","48,423",1144
Montana,Chouteau,430,23.5%,46.3%,23.5%,6.7%,"3,767",4.2%,5.6%,35.6%,23.8%,8.2%,17.8%,4.8%,90.2%,22.5%,476,85.1%,26.1%,630,88.9%,19.8%,"1,661",95.8%,24.0%,"1,000",84.0%,20.1%,28.3%,14.2%,14.0%,6.5%,"25,017","13,750","21,887","26,005","29,130","47,500",1150
Montana,Custer,"1,029",24.2%,30.7%,43.2%,1.8%,"7,894",2.7%,6.1%,36.7%,25.9%,9.5%,14.7%,4.5%,91.2%,19.2%,"1,156",95.0%,20.7%,"1,339",96.9%,23.6%,"3,361",94.8%,21.9%,"2,038",79.5%,10.9%,38.1%,15.0%,9.3%,5.2%,"26,089","23,542","22,955","24,783","37,009","40,556",1153
Montana,Daniels,51,11.8%,17.6%,49.0%,21.6%,"1,232",2.2%,3.2%,33.3%,28.6%,13.1%,14.2%,5.5%,94.6%,19.7%,157,100.0%,26.1%,171,94.7%,17.5%,540,97.4%,24.6%,364,88.2%,10.7%,16.1%,13.1%,12.5%,4.5%,"23,910","41,875","18,403","21,827","31,250","43,333",1157
Montana,Dawson,927,19.4%,46.6%,31.9%,2.0%,"6,249",3.6%,6.8%,31.2%,25.0%,15.0%,11.5%,6.9%,89.6%,18.4%,"1,007",88.6%,22.2%,987,94.3%,20.6%,"2,658",94.6%,21.4%,"1,597",79.0%,9.7%,12.9%,6.8%,4.7%,6.6%,"32,061","18,125","34,340","30,629","31,483","48,711",1160
Montana,Deer Lodge,975,56.9%,37.9%,4.2%,0.9%,"6,576",6.2%,8.8%,36.7%,21.9%,7.7%,14.0%,4.8%,85.1%,18.8%,694,89.5%,22.6%,"1,164",90.5%,20.3%,"2,999",89.2%,20.2%,"1,719",72.4%,13.7%,26.4%,14.9%,12.1%,6.3%,"25,493","6,250","18,640","29,298","33,000","71,635",1163
Montana,Fallon,192,14.6%,37.5%,37.0%,10.9%,"1,978",5.2%,6.7%,42.4%,22.6%,7.3%,11.9%,3.8%,88.1%,15.7%,325,84.0%,17.5%,288,96.5%,20.1%,859,92.0%,19.8%,506,79.2%,5.1%,19.1%,5.1%,5.2%,1.0%,"30,392","14,803","31,563","27,404","38,190","51,667",1165
Montana,Fergus,731,19.7%,36.8%,30.9%,12.6%,"8,365",5.2%,5.7%,33.2%,24.2%,8.6%,15.3%,7.8%,89.1%,23.0%,"1,060",84.7%,21.4%,"1,205",95.7%,14.4%,"3,610",92.7%,29.9%,"2,490",82.4%,18.0%,32.3%,17.2%,7.7%,5.3%,"23,022","14,194","19,286","24,828","31,229","53,438",1169
Montana,Flathead,"7,015",17.8%,43.9%,35.4%,2.8%,"60,842",1.9%,6.0%,32.7%,24.5%,8.2%,19.0%,7.7%,92.1%,26.7%,"10,284",91.9%,25.0%,"11,203",95.6%,28.6%,"27,295",94.3%,28.3%,"12,060",84.1%,23.1%,18.9%,10.1%,8.1%,4.4%,"28,151","23,435","24,737","26,301","35,666","49,723",1173
Montana,Gallatin,"15,030",4.9%,23.5%,60.6%,11.0%,"54,330",1.0%,3.0%,21.0%,23.6%,6.3%,28.9%,16.1%,96.0%,45.0%,"14,883",97.9%,44.6%,"10,909",96.4%,51.2%,"20,703",96.6%,46.1%,"7,835",90.1%,34.4%,8.3%,7.7%,10.8%,5.6%,"31,002","26,429","27,384","27,238","32,390","44,316",1177
Montana,Garfield,106,12.3%,48.1%,39.6%,0.0%,832,3.7%,5.2%,48.8%,22.8%,5.4%,12.0%,2.0%,91.1%,14.1%,73,100.0%,12.3%,121,98.3%,28.9%,381,94.5%,16.0%,257,80.2%,4.7%,4.1%,9.1%,8.1%,1.7%,"27,647","32,750","23,000","30,982","33,750","86,250",1182
Montana,Glacier,"1,312",29.9%,33.8%,35.5%,0.8%,"7,759",6.4%,14.8%,27.6%,22.9%,12.8%,12.3%,3.2%,78.8%,15.6%,"1,478",73.4%,8.4%,"1,600",78.8%,19.4%,"3,300",81.4%,17.2%,"1,381",78.4%,14.8%,27.6%,18.9%,22.4%,2.9%,"23,693","16,725","24,728","23,363","35,804","49,228",1186
Montana,Golden Valley,28,64.3%,0.0%,28.6%,7.1%,579,3.5%,9.8%,37.3%,19.2%,6.6%,16.9%,6.7%,86.7%,23.7%,24,91.7%,0.0%,97,78.4%,26.8%,287,95.1%,26.5%,171,76.6%,20.5%,11.7%,6.0%,0.0%,11.7%,"25,139","28,281","18,750","27,708","23,393","26,071",1189
Montana,Granite,142,30.3%,33.1%,36.6%,0.0%,"2,338",2.4%,6.8%,36.6%,22.4%,8.0%,17.9%,6.0%,90.8%,23.9%,227,89.0%,13.7%,325,94.2%,27.4%,"1,109",94.0%,23.9%,677,84.8%,25.6%,24.3%,20.3%,9.7%,2.7%,"22,348","11,944","17,788","24,167","37,981","70,455",1192
Montana,Hill,"1,722",13.6%,29.3%,53.9%,3.2%,"9,977",3.6%,5.0%,29.9%,30.6%,10.4%,14.1%,6.3%,91.4%,20.4%,"1,863",90.4%,18.1%,"1,850",92.6%,21.8%,"4,242",93.8%,23.0%,"2,022",85.9%,16.0%,32.6%,14.7%,12.6%,4.2%,"30,230","16,429","26,409","25,817","37,019","51,786",1195
Montana,Jefferson,730,32.5%,33.3%,29.2%,5.1%,"7,902",3.9%,4.0%,32.3%,20.5%,7.3%,19.9%,12.2%,92.2%,32.0%,737,93.4%,14.9%,"1,460",94.8%,28.4%,"4,264",92.8%,39.0%,"1,441",87.0%,23.7%,47.4%,18.3%,5.1%,0.9%,"30,587","2,981","22,743","27,152","45,433","53,581",1199
Montana,Judith Basin,93,35.5%,50.5%,10.8%,3.2%,"1,559",4.2%,4.4%,30.3%,28.0%,4.6%,23.3%,5.1%,91.3%,28.5%,142,97.2%,42.3%,194,88.7%,29.4%,699,92.8%,29.2%,524,88.7%,23.5%,40.0%,14.0%,3.3%,2.0%,"27,168","14,583","21,447","27,273","30,909","53,750",1202
Montana,Lake,"2,419",32.8%,45.6%,20.1%,1.5%,"18,900",3.7%,7.0%,30.8%,25.2%,8.1%,16.6%,8.7%,89.3%,25.2%,"2,795",89.6%,18.0%,"3,127",89.4%,23.1%,"8,355",91.6%,25.9%,"4,623",85.0%,29.9%,33.0%,16.6%,14.5%,7.9%,"24,158","15,110","23,199","21,026","33,843","45,625",1207
Montana,Lewis and Clark,"5,472",12.9%,39.7%,39.1%,8.3%,"41,914",1.8%,3.9%,27.2%,24.0%,8.5%,22.9%,11.8%,94.4%,34.7%,"6,908",96.4%,32.0%,"7,589",96.5%,40.7%,"19,184",96.0%,36.8%,"8,233",86.9%,26.5%,21.1%,11.8%,7.6%,3.3%,"31,948","18,938","25,092","27,879","41,300","51,120",1211
Montana,Liberty,188,78.2%,19.7%,0.0%,2.1%,"1,539",22.3%,4.7%,24.8%,27.4%,3.8%,14.6%,2.5%,73.0%,17.0%,152,61.8%,24.3%,232,48.7%,20.3%,729,81.6%,20.4%,426,75.6%,6.8%,41.4%,7.5%,5.4%,0.0%,"26,438","24,722","22,500","26,838","30,114","55,500",1214
Montana,Lincoln,"1,105",24.8%,29.4%,40.1%,5.7%,"14,544",5.0%,9.3%,37.4%,23.5%,8.3%,12.7%,3.8%,85.7%,16.4%,"1,595",86.8%,13.9%,"2,119",92.7%,17.0%,"7,008",92.1%,18.9%,"3,822",69.5%,12.7%,24.1%,21.3%,12.4%,5.0%,"21,483","15,993","18,602","21,518","34,624","40,284",1219
Montana,McCone,85,9.4%,54.1%,36.5%,0.0%,"1,200",3.1%,5.9%,42.3%,23.7%,6.4%,15.1%,3.5%,91.0%,18.6%,118,100.0%,27.1%,192,100.0%,27.6%,534,91.6%,20.0%,356,82.3%,8.7%,11.1%,5.7%,11.4%,9.4%,"25,786","33,472","22,419","22,443","36,667","37,500",1223
Montana,Madison,377,12.2%,40.8%,31.0%,15.9%,"5,869",1.9%,3.5%,31.3%,22.5%,7.1%,24.2%,9.6%,94.6%,33.8%,705,96.9%,35.5%,847,90.2%,30.7%,"2,786",97.5%,36.9%,"1,531",90.7%,29.0%,22.3%,12.7%,8.1%,5.8%,"27,555","15,543","20,350","27,124","36,136","45,956",1226
Montana,Meagher,110,46.4%,23.6%,25.5%,4.5%,"1,422",9.0%,8.6%,40.1%,20.3%,6.1%,13.2%,2.7%,82.3%,15.8%,247,81.0%,34.0%,210,90.0%,4.3%,618,88.2%,14.2%,347,68.3%,12.7%,36.8%,17.5%,12.8%,13.9%,"18,346","18,250","16,600","18,464","26,071","31,250",1231
Montana,Mineral,262,24.0%,32.8%,28.2%,14.9%,"3,038",3.3%,13.7%,43.5%,20.5%,5.3%,10.2%,3.5%,83.0%,13.6%,330,78.5%,22.1%,451,73.4%,13.5%,"1,413",89.6%,14.3%,844,78.9%,9.2%,32.3%,13.7%,7.0%,0.0%,"20,738","11,250","17,770","27,417","37,563","41,920",1234
Montana,Missoula,"16,873",7.7%,28.6%,55.9%,7.8%,"68,597",2.0%,5.5%,25.2%,22.2%,6.7%,24.3%,14.1%,92.6%,38.4%,"16,252",93.2%,42.7%,"12,690",94.9%,41.2%,"27,996",93.4%,38.5%,"11,659",87.3%,29.3%,26.3%,11.6%,13.5%,7.3%,"28,962","18,000","25,626","26,647","31,777","43,964",1239
Montana,Musselshell,251,6.0%,64.5%,16.7%,12.7%,"3,262",3.1%,10.6%,40.7%,24.1%,8.1%,5.9%,7.5%,86.3%,13.4%,288,81.9%,7.6%,479,89.6%,22.5%,"1,691",91.1%,12.5%,804,76.0%,11.9%,18.6%,12.1%,8.2%,14.4%,"24,159","14,886","27,143","24,590","22,321","31,964",1241
Montana,Park,855,25.0%,32.2%,36.5%,6.3%,"11,729",2.7%,8.0%,29.8%,21.7%,6.4%,23.9%,7.6%,89.4%,31.4%,"1,788",89.6%,41.1%,"2,148",91.6%,36.6%,"5,350",91.5%,30.1%,"2,443",82.7%,22.8%,19.3%,12.2%,12.1%,7.2%,"26,163","21,167","25,735","23,528","27,799","37,775",1244
Montana,Petroleum,7,0.0%,57.1%,42.9%,0.0%,450,3.1%,4.7%,44.2%,28.7%,5.6%,12.7%,1.1%,92.2%,13.8%,93,100.0%,32.3%,74,95.9%,10.8%,165,97.0%,6.7%,118,77.1%,11.0%,17.1%,18.1%,13.6%,0.0%,"23,988","26,250","21,591","23,542","32,917",-,1247
Montana,Phillips,179,65.9%,15.1%,16.8%,2.2%,"3,054",6.9%,4.9%,41.6%,22.1%,8.7%,12.0%,3.8%,88.2%,15.8%,356,94.9%,16.0%,414,93.7%,34.8%,"1,410",92.6%,14.1%,874,75.7%,9.4%,7.3%,8.2%,12.6%,17.0%,"26,777","8,963","30,743","24,569","29,375","51,167",1250
