County,State,Households with one or more people under 18 years,Households with one or more people 60 years and over,1-unit structures,2-unit structures,Mobile homes and all other types of units,FID
Oklahoma,Tulsa,33.5%,29.2%,73.9%,23.8%,2.4%,2008
Oklahoma,Wagoner,38.5%,32.7%,82.9%,3.8%,13.3%,2014
Oklahoma,Washington,30.4%,38.1%,82.4%,11.5%,6.1%,2018
Oklahoma,Washita,29.3%,40.6%,88.9%,3.3%,7.8%,2023
Oklahoma,Woods,29.2%,34.0%,84.9%,10.0%,5.1%,2029
Oklahoma,Woodward,33.9%,33.5%,79.3%,8.4%,12.4%,2035
Oregon,Baker,24.8%,45.2%,75.4%,9.1%,15.5%,2044
Oregon,Benton,24.8%,28.0%,65.7%,28.0%,6.3%,2053
Oregon,Clackamas,33.7%,33.4%,73.1%,20.3%,6.6%,2058
Oregon,Clatsop,28.5%,38.8%,67.8%,23.0%,9.2%,2064
Oregon,Columbia,32.5%,35.3%,75.9%,10.1%,14.0%,2070
Oregon,Coos,22.5%,44.6%,69.6%,12.6%,17.8%,2083
Oregon,Crook,29.9%,42.4%,76.1%,7.7%,16.2%,2092
Oregon,Curry,21.6%,54.7%,64.1%,8.2%,27.7%,2098
Oregon,Deschutes,31.9%,33.5%,76.1%,13.7%,10.2%,2109
Oregon,Douglas,26.5%,44.1%,69.4%,11.3%,19.3%,2115
Oregon,Gilliam,19.3%,40.1%,70.2%,5.8%,24.1%,2121
Oregon,Grant,23.2%,47.1%,68.6%,4.3%,27.1%,2130
Oregon,Harney,28.4%,35.4%,71.3%,7.6%,21.0%,2134
Oregon,Hood River,38.8%,31.3%,75.1%,14.6%,10.4%,2138
Oregon,Jackson,29.2%,39.1%,70.2%,17.2%,12.7%,2139
Oregon,Jefferson,33.5%,36.9%,64.7%,11.8%,23.5%,2143
Oregon,Josephine,26.7%,46.9%,71.7%,11.2%,17.1%,2152
Oregon,Klamath,29.9%,38.5%,70.3%,11.9%,17.8%,2155
Oregon,Lake,25.7%,40.4%,69.2%,4.0%,26.8%,2159
Oregon,Lane,27.5%,33.5%,67.9%,22.4%,9.7%,2170
Oregon,Lincoln,20.9%,46.4%,67.3%,15.2%,17.5%,2174
Oregon,Linn,32.1%,36.2%,70.1%,16.6%,13.3%,2181
Oregon,Malheur,36.2%,38.5%,71.0%,13.3%,15.8%,2185
Oregon,Marion,35.5%,33.3%,67.6%,23.9%,8.4%,2200
Oregon,Morrow,39.0%,34.8%,62.4%,9.6%,28.0%,2209
Oregon,Multnomah,26.9%,26.3%,62.7%,35.1%,2.2%,2218
Oregon,Polk,33.7%,33.1%,73.8%,19.1%,7.1%,2223
Oregon,Sherman,27.9%,40.3%,68.4%,4.9%,26.7%,2232
Oregon,Tillamook,24.7%,44.2%,71.4%,12.0%,16.6%,2242
Oregon,Umatilla,37.5%,34.5%,66.3%,17.1%,16.5%,2251
Oregon,Union,30.1%,36.7%,69.6%,15.6%,14.8%,2257
Oregon,Wallowa,20.7%,45.6%,73.7%,7.9%,18.4%,2263
Oregon,Wasco,27.9%,43.4%,67.6%,14.8%,17.6%,2267
Oregon,Washington,35.7%,26.0%,66.8%,30.3%,2.9%,2272
Oregon,Wheeler,19.7%,61.2%,80.8%,0.5%,18.7%,2277
Oregon,Yamhill,35.8%,33.7%,72.1%,16.3%,11.6%,2284
Pennsylvania,Adams,33.6%,35.9%,82.8%,9.8%,7.4%,2292
Pennsylvania,Allegheny,26.2%,36.6%,74.1%,25.2%,0.8%,2302
Pennsylvania,Armstrong,29.9%,39.1%,79.8%,9.8%,10.4%,2309
Pennsylvania,Beaver,27.9%,39.9%,80.1%,15.2%,4.7%,2321
Pennsylvania,Bedford,29.2%,40.4%,77.6%,7.8%,14.6%,2324
Pennsylvania,Berks,34.0%,34.3%,79.5%,17.2%,3.3%,2326
Pennsylvania,Blair,29.1%,38.4%,76.3%,16.8%,6.9%,2328
Pennsylvania,Bradford,30.5%,39.9%,72.0%,12.0%,16.0%,2333
Pennsylvania,Bucks,33.6%,35.1%,80.0%,17.9%,2.1%,2336
Pennsylvania,Butler,31.9%,33.7%,77.1%,13.1%,9.8%,2338
Pennsylvania,Cambria,26.5%,42.1%,80.8%,15.0%,4.2%,2341
Pennsylvania,Cameron,25.9%,45.6%,80.5%,14.9%,4.6%,2343
Pennsylvania,Carbon,28.3%,39.4%,85.4%,10.0%,4.6%,2349
Pennsylvania,Centre,24.6%,28.0%,65.4%,29.0%,5.6%,2354
Pennsylvania,Chester,36.2%,31.3%,79.8%,17.7%,2.5%,2360
Pennsylvania,Clarion,29.1%,36.9%,75.7%,12.0%,12.3%,2366
Pennsylvania,Clearfield,27.9%,38.9%,77.3%,11.0%,11.7%,2372
Pennsylvania,Clinton,28.1%,38.4%,73.1%,16.7%,10.2%,2379
Pennsylvania,Columbia,27.5%,36.3%,74.6%,16.0%,9.4%,2385
Pennsylvania,Crawford,28.3%,39.0%,73.4%,14.0%,12.6%,2389
Pennsylvania,Cumberland,28.3%,35.1%,75.5%,18.8%,5.7%,2397
Pennsylvania,Dauphin,30.4%,32.6%,74.3%,22.9%,2.8%,2403
Pennsylvania,Delaware,33.7%,35.4%,77.6%,22.1%,0.3%,2414
Pennsylvania,Elk,28.5%,38.8%,84.4%,11.4%,4.3%,2420
Pennsylvania,Erie,31.1%,34.0%,71.1%,22.8%,6.1%,2425
Pennsylvania,Fayette,28.5%,41.8%,76.8%,11.8%,11.4%,2431
Pennsylvania,Forest,17.0%,55.2%,83.5%,5.6%,11.0%,2436
Pennsylvania,Franklin,31.0%,36.8%,76.8%,14.3%,8.8%,2439
Pennsylvania,Fulton,30.3%,39.6%,78.2%,5.4%,16.3%,2446
Pennsylvania,Greene,31.3%,39.4%,74.0%,9.9%,16.1%,2447
Pennsylvania,Huntingdon,27.2%,39.7%,77.4%,10.5%,12.1%,2454
Pennsylvania,Indiana,26.9%,36.1%,72.7%,14.6%,12.7%,2459
Pennsylvania,Jefferson,28.7%,39.7%,78.9%,11.8%,9.2%,2462
Pennsylvania,Juniata,30.8%,38.6%,81.7%,7.7%,10.6%,2466
Pennsylvania,Lackawanna,29.2%,39.9%,69.2%,28.4%,2.4%,2471
Pennsylvania,Lancaster,33.3%,34.0%,77.0%,18.6%,4.3%,2482
Pennsylvania,Lawrence,30.0%,42.0%,82.1%,11.5%,6.4%,2488
Pennsylvania,Lebanon,31.2%,37.7%,78.1%,16.7%,5.3%,2492
Pennsylvania,Lehigh,34.0%,35.0%,75.2%,22.3%,2.5%,2496
Pennsylvania,Luzerne,27.6%,40.2%,77.4%,19.3%,3.3%,2501
Pennsylvania,Lycoming,30.2%,36.5%,75.4%,18.7%,5.9%,2505
Pennsylvania,McKean,30.1%,37.3%,79.7%,11.7%,8.6%,2509
Pennsylvania,Mercer,28.7%,40.2%,77.8%,14.4%,7.8%,2513
Pennsylvania,Mifflin,29.8%,41.5%,80.8%,11.7%,7.5%,2517
Pennsylvania,Monroe,38.7%,33.8%,87.8%,8.6%,3.5%,2521
Pennsylvania,Montgomery,33.2%,34.6%,76.4%,22.6%,1.0%,2528
Pennsylvania,Montour,29.4%,39.8%,78.6%,13.4%,8.0%,2533
Pennsylvania,Northampton,32.7%,36.6%,81.0%,16.2%,2.8%,2537
Pennsylvania,Northumberland,27.6%,40.8%,81.8%,13.7%,4.5%,2544
Pennsylvania,Perry,33.7%,33.0%,79.2%,8.6%,12.2%,2554
Pennsylvania,Philadelphia,28.9%,32.1%,68.9%,30.9%,0.2%,2563
Pennsylvania,Pike,35.6%,39.0%,91.5%,5.2%,3.3%,2571
Pennsylvania,Potter,29.1%,42.3%,78.6%,8.5%,12.9%,2575
Pennsylvania,Schuylkill,28.7%,40.7%,84.2%,11.9%,3.9%,2581
Pennsylvania,Snyder,33.0%,36.4%,81.4%,10.6%,8.0%,2583
Pennsylvania,Somerset,26.2%,42.2%,78.8%,10.4%,10.8%,2589
Pennsylvania,Sullivan,18.6%,46.7%,84.0%,7.9%,8.1%,2293
Pennsylvania,Susquehanna,28.6%,41.2%,76.9%,10.1%,13.0%,2298
Pennsylvania,Tioga,29.9%,38.6%,72.7%,12.3%,15.0%,2305
Pennsylvania,Union,32.0%,36.6%,77.2%,15.0%,7.8%,2313
Pennsylvania,Venango,28.7%,39.1%,79.6%,12.3%,8.1%,2316
Pennsylvania,Warren,26.4%,39.9%,77.3%,12.6%,10.1%,2322
Pennsylvania,Washington,28.0%,39.2%,80.8%,12.8%,6.5%,2346
Pennsylvania,Wayne,29.1%,43.8%,82.2%,7.9%,9.9%,2363
Pennsylvania,Westmoreland,27.0%,40.4%,80.4%,13.4%,6.2%,2394
Pennsylvania,Wyoming,29.1%,38.8%,77.3%,10.1%,12.6%,2407
Pennsylvania,York,33.2%,33.4%,81.2%,13.5%,5.3%,2419
Rhode Island,Bristol,29.3%,37.9%,70.9%,29.0%,0.1%,2433
Rhode Island,Kent,30.2%,35.5%,73.1%,25.2%,1.7%,2444
Rhode Island,Newport,28.4%,37.9%,69.2%,28.3%,2.5%,2460
Rhode Island,Providence,32.2%,33.0%,50.2%,49.3%,0.5%,2475
Rhode Island,Washington,29.6%,36.7%,80.0%,18.0%,1.9%,2484
South Carolina,Abbeville,31.7%,38.6%,66.5%,7.1%,26.3%,2489
South Carolina,Aiken,32.4%,35.3%,69.4%,9.4%,21.2%,2503
South Carolina,Allendale,35.6%,39.8%,65.4%,15.2%,19.4%,2527
South Carolina,Anderson,33.5%,35.8%,71.1%,10.1%,18.8%,2559
South Carolina,Bamberg,31.9%,42.6%,68.4%,8.1%,23.5%,2592
South Carolina,Barnwell,32.0%,34.6%,57.7%,7.9%,34.4%,2605
South Carolina,Beaufort,29.1%,42.8%,72.3%,15.3%,12.4%,2626
South Carolina,Berkeley,38.2%,27.9%,67.5%,13.5%,19.0%,2631
South Carolina,Calhoun,26.5%,38.6%,63.7%,2.8%,33.5%,2635
South Carolina,Charleston,28.0%,30.9%,65.4%,27.5%,7.1%,2691
South Carolina,Cherokee,30.8%,34.0%,60.1%,10.6%,29.3%,2700
South Carolina,Chester,33.9%,38.0%,71.0%,5.3%,23.6%,2704
South Carolina,Chesterfield,34.0%,37.2%,61.0%,7.0%,32.0%,2708
South Carolina,Clarendon,32.2%,41.5%,53.8%,6.0%,40.1%,2715
South Carolina,Colleton,34.2%,38.2%,54.9%,4.9%,40.2%,2718
South Carolina,Darlington,32.3%,35.8%,64.1%,6.3%,29.6%,2721
South Carolina,Dillon,37.7%,37.2%,56.0%,8.7%,35.3%,2725
South Carolina,Dorchester,42.1%,28.2%,71.7%,14.6%,13.8%,2730
South Carolina,Edgefield,34.5%,36.7%,64.5%,8.0%,27.6%,2735
South Carolina,Fairfield,30.7%,36.2%,67.4%,9.7%,22.9%,2738
South Carolina,Florence,36.5%,32.8%,63.3%,15.5%,21.2%,2742
South Carolina,Georgetown,27.1%,47.4%,67.9%,10.4%,21.7%,2752
South Carolina,Greenville,33.1%,30.9%,71.7%,18.6%,9.7%,2759
South Carolina,Greenwood,33.1%,36.2%,74.3%,13.9%,11.8%,2764
South Carolina,Hampton,35.8%,36.7%,61.9%,6.1%,32.0%,2767
South Carolina,Horry,28.5%,36.5%,60.6%,20.5%,18.9%,2774
South Carolina,Jasper,36.0%,37.4%,62.0%,5.5%,32.5%,2783
South Carolina,Kershaw,34.3%,34.7%,69.3%,4.2%,26.5%,2787
South Carolina,Lancaster,34.3%,36.1%,76.9%,6.5%,16.5%,2790
South Carolina,Laurens,31.0%,36.0%,63.1%,7.1%,29.8%,2794
South Carolina,Lee,34.9%,39.3%,56.3%,7.1%,36.6%,2800
South Carolina,Lexington,34.9%,29.7%,69.9%,11.0%,19.1%,2803
South Carolina,McCormick,24.6%,49.8%,72.8%,9.2%,18.0%,2807
South Carolina,Marion,35.0%,42.0%,62.2%,8.0%,29.8%,2811
South Carolina,Marlboro,33.6%,40.8%,63.8%,10.5%,25.7%,2813
South Carolina,Newberry,34.3%,36.6%,69.9%,6.2%,23.9%,2818
South Carolina,Oconee,28.9%,42.2%,71.7%,7.4%,20.9%,2822
South Carolina,Orangeburg,33.4%,37.2%,58.9%,8.3%,32.8%,2829
South Carolina,Pickens,29.4%,32.8%,66.4%,15.4%,18.2%,2834
South Carolina,Richland,33.3%,26.1%,68.8%,25.7%,5.6%,2843
South Carolina,Saluda,29.5%,42.6%,69.0%,2.2%,28.7%,2846
South Carolina,Spartanburg,34.1%,33.6%,72.5%,12.3%,15.1%,2851
South Carolina,Sumter,36.7%,33.4%,65.3%,11.6%,23.1%,2855
South Carolina,Union,35.2%,38.8%,67.7%,8.6%,23.6%,2860
South Carolina,Williamsburg,29.7%,43.1%,58.2%,7.2%,34.6%,2864
South Carolina,York,36.6%,29.5%,74.2%,14.1%,11.8%,2867
South Dakota,Aurora,27.0%,40.7%,86.9%,5.4%,7.8%,2870
South Dakota,Beadle,26.6%,37.3%,74.5%,20.4%,5.1%,2874
South Dakota,Bennett,48.8%,30.7%,74.3%,9.3%,16.4%,2876
South Dakota,Bon Homme,28.2%,44.3%,88.2%,7.6%,4.2%,2879
South Dakota,Brookings,25.0%,24.9%,62.0%,28.9%,9.1%,2882
South Dakota,Brown,26.7%,35.3%,69.6%,23.9%,6.5%,2885
South Dakota,Brule,31.2%,37.7%,73.4%,14.1%,12.5%,2888
South Dakota,Buffalo,63.2%,29.2%,82.1%,11.1%,6.8%,2891
South Dakota,Butte,28.8%,34.8%,69.8%,9.4%,20.8%,2895
South Dakota,Campbell,22.7%,45.4%,84.6%,2.9%,12.4%,2897
South Dakota,Charles Mix,33.6%,42.2%,86.3%,8.4%,5.2%,2900
South Dakota,Clark,23.1%,48.7%,84.7%,7.9%,7.4%,2901
South Dakota,Clay,22.1%,23.2%,58.5%,31.2%,10.2%,2903
South Dakota,Codington,32.6%,31.5%,73.4%,16.7%,10.0%,2906
South Dakota,Corson,41.2%,36.4%,81.9%,3.9%,14.3%,2907
South Dakota,Custer,21.2%,44.6%,74.3%,8.0%,17.7%,2908
South Dakota,Davison,29.7%,32.3%,72.0%,22.6%,5.4%,2910
South Dakota,Day,25.8%,41.2%,85.8%,10.5%,3.8%,2911
South Dakota,Deuel,27.8%,39.4%,87.6%,7.9%,4.5%,2912
South Dakota,Dewey,44.6%,33.1%,79.3%,6.0%,14.7%,2914
South Dakota,Douglas,27.5%,44.0%,90.4%,5.7%,3.8%,2916
South Dakota,Edmunds,25.1%,52.1%,85.2%,5.9%,8.9%,2917
South Dakota,Fall River,25.6%,39.7%,74.7%,15.9%,9.5%,2919
South Dakota,Faulk,27.1%,47.2%,80.7%,11.0%,8.3%,2921
South Dakota,Grant,29.9%,33.4%,78.1%,14.1%,7.8%,2922
South Dakota,Gregory,25.1%,46.8%,84.4%,6.7%,8.8%,2923
South Dakota,Haakon,31.7%,33.4%,84.3%,2.0%,13.8%,2924
South Dakota,Hamlin,32.1%,40.6%,85.9%,5.1%,9.0%,2926
South Dakota,Hand,29.1%,40.3%,84.4%,7.5%,8.2%,2928
South Dakota,Hanson,38.6%,31.7%,93.3%,2.9%,3.7%,2929
South Dakota,Harding,29.7%,39.2%,80.0%,2.5%,17.5%,2931
South Dakota,Hughes,32.6%,31.2%,62.8%,21.7%,15.6%,2933
South Dakota,Hutchinson,27.5%,46.4%,89.6%,8.2%,2.2%,2934
South Dakota,Hyde,25.7%,45.7%,81.5%,8.2%,10.4%,2937
South Dakota,Jackson,47.0%,32.5%,81.7%,3.0%,15.2%,2939
South Dakota,Jerauld,22.6%,48.4%,79.6%,14.4%,6.0%,2941
South Dakota,Jones,31.6%,36.9%,78.6%,10.6%,10.8%,2944
South Dakota,Kingsbury,26.8%,36.2%,83.1%,9.2%,7.6%,2945
South Dakota,Lake,26.6%,36.0%,81.2%,14.8%,4.0%,2401
South Dakota,Lawrence,23.8%,35.1%,62.8%,22.9%,14.3%,2406
South Dakota,Lincoln,41.0%,21.7%,80.1%,17.3%,2.6%,2410
South Dakota,Lyman,34.0%,35.6%,81.0%,8.8%,10.2%,2417
South Dakota,McCook,32.2%,36.9%,89.3%,7.8%,2.9%,2422
South Dakota,McPherson,22.3%,55.5%,83.5%,9.2%,7.3%,2426
South Dakota,Marshall,24.6%,43.5%,83.1%,11.9%,5.0%,2430
South Dakota,Meade,32.3%,27.8%,72.3%,9.5%,18.2%,2442
South Dakota,Mellette,47.1%,36.0%,75.9%,4.6%,19.5%,2450
South Dakota,Miner,21.9%,45.2%,89.9%,5.2%,4.9%,2456
South Dakota,Minnehaha,34.2%,25.9%,69.8%,26.0%,4.3%,2467
South Dakota,Moody,35.0%,34.8%,86.1%,9.3%,4.7%,2485
South Dakota,Pennington,33.6%,29.9%,67.1%,20.9%,12.0%,2497
South Dakota,Perkins,22.3%,42.3%,75.9%,11.2%,12.9%,2502
South Dakota,Potter,24.0%,51.2%,82.0%,7.0%,11.0%,2506
South Dakota,Roberts,34.9%,40.7%,83.7%,8.1%,8.2%,2511
South Dakota,Sanborn,27.1%,40.6%,86.1%,6.2%,7.7%,2514
South Dakota,Shannon,65.6%,31.0%,74.2%,4.2%,21.6%,2519
South Dakota,Spink,24.6%,47.3%,81.6%,12.4%,5.9%,2523
South Dakota,Stanley,25.9%,41.3%,65.1%,7.9%,27.0%,2530
South Dakota,Sully,30.7%,36.8%,80.4%,4.9%,14.7%,2535
South Dakota,Todd,51.9%,26.7%,80.9%,14.2%,4.9%,2540
South Dakota,Tripp,31.0%,38.0%,68.3%,15.9%,15.8%,2546
South Dakota,Turner,30.0%,38.4%,89.0%,6.6%,4.5%,2550
South Dakota,Union,33.9%,34.7%,78.0%,15.1%,6.9%,2557
South Dakota,Walworth,25.3%,42.3%,85.1%,7.3%,7.6%,2561
South Dakota,Yankton,29.2%,35.0%,73.1%,17.8%,9.1%,2569
South Dakota,Ziebach,45.1%,29.1%,63.5%,8.7%,27.8%,2578
Tennessee,Anderson,29.0%,39.1%,74.3%,14.9%,10.8%,2584
Tennessee,Bedford,38.7%,31.4%,75.7%,8.6%,15.7%,2593
Tennessee,Benton,28.6%,42.6%,71.9%,3.4%,24.7%,2598
Tennessee,Bledsoe,32.5%,41.0%,66.2%,5.8%,28.0%,2602
Tennessee,Blount,32.3%,37.1%,77.8%,10.1%,12.0%,2622
Tennessee,Bradley,33.6%,34.6%,74.0%,16.0%,10.0%,2627
Tennessee,Campbell,31.8%,41.0%,71.4%,11.1%,17.5%,2633
Tennessee,Cannon,31.0%,38.3%,76.5%,4.2%,19.3%,2638
Tennessee,Carroll,31.1%,39.0%,76.5%,6.2%,17.3%,2648
Tennessee,Carter,28.6%,37.7%,68.6%,13.2%,18.3%,2654
Tennessee,Cheatham,37.8%,30.2%,82.3%,4.9%,12.7%,2660
Tennessee,Chester,36.7%,36.7%,77.9%,7.4%,14.6%,2664
Tennessee,Claiborne,29.9%,37.7%,66.8%,7.0%,26.2%,2670
Tennessee,Clay,25.0%,46.8%,76.0%,5.5%,18.5%,2679
Tennessee,Cocke,31.2%,38.1%,61.6%,6.8%,31.5%,2686
Tennessee,Coffee,34.9%,37.9%,76.1%,10.4%,13.4%,2689
Tennessee,Crockett,33.0%,39.0%,81.7%,6.9%,11.5%,2693
Tennessee,Cumberland,24.7%,51.4%,75.8%,8.8%,15.4%,2696
Tennessee,Davidson,28.7%,25.8%,63.6%,35.0%,1.4%,2698
Tennessee,Decatur,27.2%,42.7%,73.4%,6.2%,20.5%,2705
Tennessee,DeKalb,32.4%,39.9%,75.4%,7.9%,16.7%,2710
Tennessee,Dickson,35.3%,33.0%,74.6%,10.6%,14.8%,2717
Tennessee,Dyer,35.9%,34.7%,75.9%,16.3%,7.9%,2723
Tennessee,Fayette,32.6%,38.0%,82.1%,4.3%,13.7%,2726
Tennessee,Fentress,32.5%,38.6%,73.0%,5.3%,21.8%,2731
Tennessee,Franklin,30.2%,40.9%,78.3%,8.4%,13.4%,2734
Tennessee,Gibson,31.6%,37.9%,79.2%,11.0%,9.9%,2739
Tennessee,Giles,31.3%,39.2%,73.0%,10.9%,16.1%,2743
Tennessee,Grainger,33.4%,37.0%,66.0%,3.3%,30.7%,2748
Tennessee,Greene,32.7%,37.6%,67.5%,7.4%,25.2%,2750
Tennessee,Grundy,31.6%,39.0%,74.9%,3.0%,22.1%,2754
Tennessee,Hamblen,34.0%,37.0%,76.7%,13.0%,10.3%,2757
Tennessee,Hamilton,30.0%,34.4%,73.9%,22.0%,4.1%,2761
Tennessee,Hancock,28.6%,37.7%,69.6%,8.0%,22.4%,2766
Tennessee,Hardeman,33.9%,40.5%,76.1%,6.1%,17.8%,2770
Tennessee,Hardin,30.2%,41.7%,75.9%,7.5%,16.6%,2773
Tennessee,Hawkins,31.2%,36.1%,69.1%,9.4%,21.5%,2779
Tennessee,Haywood,32.4%,35.5%,72.3%,14.7%,13.0%,2781
Tennessee,Henderson,33.8%,35.6%,72.6%,6.0%,21.4%,2786
Tennessee,Henry,27.5%,42.0%,70.3%,8.8%,20.9%,2789
Tennessee,Hickman,34.8%,35.7%,68.6%,4.7%,26.6%,2792
Tennessee,Houston,31.7%,39.1%,73.9%,5.5%,20.6%,2796
Tennessee,Humphreys,32.1%,39.5%,73.4%,5.3%,21.3%,2798
Tennessee,Jackson,30.3%,43.9%,71.4%,4.2%,24.5%,2801
Tennessee,Jefferson,31.8%,37.7%,67.3%,7.0%,25.7%,2804
Tennessee,Johnson,29.5%,43.9%,69.1%,6.1%,24.8%,2808
Tennessee,Knox,29.1%,30.3%,73.7%,21.9%,4.4%,2814
Tennessee,Lake,28.5%,45.5%,71.1%,20.1%,8.8%,2817
Tennessee,Lauderdale,35.3%,35.6%,75.2%,11.4%,13.4%,2821
Tennessee,Lawrence,35.0%,39.0%,78.8%,7.5%,13.7%,2823
Tennessee,Lewis,33.2%,38.9%,75.1%,5.9%,19.1%,2825
Tennessee,Lincoln,32.7%,37.9%,75.5%,9.1%,15.4%,2828
Tennessee,Loudon,26.4%,45.6%,79.3%,7.3%,13.4%,2830
Tennessee,McMinn,31.6%,37.5%,71.6%,9.9%,18.5%,2833
Tennessee,McNairy,32.2%,41.7%,77.8%,5.4%,16.8%,2836
Tennessee,Macon,31.9%,36.8%,70.4%,7.6%,22.0%,2839
Tennessee,Madison,34.3%,31.8%,76.8%,18.0%,5.2%,2841
Tennessee,Marion,29.4%,38.6%,74.6%,5.1%,20.3%,2844
Tennessee,Marshall,37.4%,33.0%,74.3%,9.0%,16.6%,2848
Tennessee,Maury,34.6%,30.1%,76.9%,11.1%,12.0%,2850
Tennessee,Meigs,36.5%,40.0%,57.4%,4.1%,38.5%,2854
Tennessee,Monroe,32.5%,38.0%,67.3%,7.5%,25.2%,2857
Tennessee,Montgomery,42.0%,21.6%,76.0%,18.6%,5.4%,2859
Tennessee,Moore,33.1%,41.3%,75.6%,4.3%,20.1%,2863
Tennessee,Morgan,36.0%,35.8%,68.8%,3.0%,28.2%,2866
Tennessee,Obion,32.9%,38.7%,76.0%,13.3%,10.7%,2872
Tennessee,Overton,32.5%,39.9%,73.8%,3.0%,23.2%,2875
Tennessee,Perry,27.3%,41.4%,63.8%,4.7%,31.5%,2878
Tennessee,Pickett,32.8%,33.8%,72.5%,7.5%,20.0%,2881
Tennessee,Polk,31.2%,45.7%,72.8%,3.8%,23.4%,2883
Tennessee,Putnam,29.0%,35.0%,68.8%,20.7%,10.4%,2890
Tennessee,Rhea,32.0%,37.8%,67.2%,8.2%,24.6%,2893
Tennessee,Roane,29.2%,40.5%,74.5%,9.4%,16.0%,2001
Tennessee,Robertson,38.7%,30.5%,81.9%,8.5%,9.6%,2011
Tennessee,Rutherford,39.6%,23.1%,78.0%,17.7%,4.2%,2015
Tennessee,Scott,34.5%,36.8%,67.7%,8.1%,24.2%,2020
Tennessee,Sequatchie,31.5%,41.5%,71.7%,5.4%,22.9%,2025
Tennessee,Sevier,33.7%,34.6%,68.2%,13.9%,17.9%,2030
Tennessee,Shelby,36.2%,28.1%,75.0%,23.8%,1.2%,2033
Tennessee,Smith,34.5%,34.1%,74.9%,7.3%,17.8%,2037
Tennessee,Stewart,33.8%,39.6%,75.9%,3.8%,20.3%,2041
Tennessee,Sullivan,29.3%,40.0%,75.4%,12.1%,12.5%,2046
Tennessee,Sumner,36.0%,31.2%,78.2%,14.6%,7.2%,2050
Tennessee,Tipton,41.8%,29.6%,80.7%,6.0%,13.2%,2055
Tennessee,Trousdale,37.1%,35.4%,74.4%,5.8%,19.8%,2062
Tennessee,Unicoi,26.7%,41.7%,73.0%,7.8%,19.2%,2069
Tennessee,Union,34.2%,34.1%,65.8%,5.3%,28.9%,2073
Tennessee,Van Buren,28.2%,40.5%,72.7%,6.3%,21.1%,2077
Tennessee,Warren,33.9%,37.5%,77.0%,11.6%,11.4%,2081
Tennessee,Washington,28.5%,33.6%,69.7%,20.0%,10.3%,2085
Tennessee,Wayne,32.0%,41.1%,68.5%,3.9%,27.7%,2089
Tennessee,Weakley,28.3%,35.1%,73.6%,15.7%,10.7%,2096
Tennessee,White,31.6%,41.4%,73.2%,5.7%,21.1%,2100
Tennessee,Williamson,43.9%,27.8%,86.3%,11.6%,2.1%,2105
Tennessee,Wilson,37.9%,31.3%,83.2%,8.4%,8.4%,2111
Texas,Anderson,33.8%,38.5%,72.2%,7.9%,19.8%,2113
Texas,Andrews,39.7%,31.0%,76.5%,10.4%,13.1%,2117
Texas,Angelina,35.6%,35.2%,70.0%,10.7%,19.3%,2124
Texas,Aransas,28.3%,46.2%,67.2%,9.4%,23.4%,2162
Texas,Archer,31.6%,36.9%,89.2%,2.8%,8.0%,2168
Texas,Armstrong,34.3%,41.5%,89.8%,1.3%,8.9%,2172
Texas,Atascosa,42.2%,34.6%,64.0%,5.4%,30.6%,2173
Texas,Austin,34.2%,39.8%,74.9%,8.5%,16.6%,2177
Texas,Bailey,30.7%,35.2%,82.4%,7.4%,10.3%,2179
Texas,Bandera,27.3%,44.0%,67.8%,0.8%,31.4%,2183
Texas,Bastrop,39.5%,31.8%,66.6%,5.1%,28.3%,2190
Texas,Baylor,23.4%,49.9%,84.6%,10.0%,5.4%,2192
Texas,Bee,37.1%,35.9%,77.7%,11.6%,10.7%,2196
Texas,Bell,41.9%,24.2%,69.5%,24.0%,6.4%,2198
Texas,Bexar,38.4%,28.4%,72.7%,24.3%,3.0%,2203
Texas,Blanco,30.4%,47.5%,76.2%,6.2%,17.6%,2207
Texas,Borden,32.4%,38.9%,86.5%,0.0%,13.5%,2212
Texas,Bosque,33.6%,42.4%,79.8%,5.1%,15.2%,2216
Texas,Bowie,34.6%,35.4%,73.6%,13.6%,12.8%,2224
Texas,Brazoria,42.4%,27.4%,75.5%,13.2%,11.3%,2240
Texas,Brazos,31.4%,18.8%,56.4%,36.3%,7.3%,2253
Texas,Brewster,21.8%,37.1%,65.7%,14.3%,20.0%,2262
Texas,Briscoe,30.0%,49.9%,91.5%,2.4%,6.2%,2269
Texas,Brooks,33.7%,44.4%,76.5%,15.6%,7.9%,2279
Texas,Brown,32.6%,39.5%,73.8%,11.9%,14.2%,2296
Texas,Burleson,34.2%,41.3%,70.0%,4.1%,25.9%,2304
Texas,Burnet,33.6%,43.3%,72.3%,7.1%,20.6%,2312
Texas,Caldwell,37.7%,33.1%,61.4%,11.3%,27.3%,2320
Texas,Calhoun,36.8%,38.9%,73.6%,12.2%,14.2%,2327
Texas,Callahan,31.7%,41.5%,77.2%,2.8%,19.9%,2331
Texas,Cameron,50.3%,34.9%,73.1%,16.1%,10.7%,2359
Texas,Camp,35.8%,37.3%,73.5%,7.5%,19.0%,2373
Texas,Carson,28.9%,42.2%,88.2%,1.5%,10.3%,2377
Texas,Cass,32.8%,42.6%,74.3%,8.4%,17.4%,2382
Texas,Castro,45.2%,33.2%,83.5%,6.5%,10.0%,2386
