County,State,Year Structure Built: 2000+,Year Structure Built: 1990 to 1999,Year Structure Built: 1980 to 1989,Year Structure Built: 1960 to 1979,Year Structure Built: 1940 to 1959,Year Structure Built: 1939 or earlier,0 Vehicles Available,1 Vehicles Available,2 Vehicles Available,3+ Vehicles Available,FID
New Hampshire,Grafton,7.2%,10.5%,19.9%,23.8%,10.4%,28.2%,5.6%,33.5%,42.1%,18.8%,1442
New Hampshire,Hillsborough,9.1%,10.5%,20.2%,26.7%,12.4%,21.1%,5.6%,29.7%,43.1%,21.7%,1443
New Hampshire,Merrimack,11.1%,11.2%,21.0%,22.5%,9.0%,25.2%,5.3%,29.9%,41.0%,23.8%,1444
New Hampshire,Rockingham,12.2%,13.5%,22.0%,27.8%,10.0%,14.5%,3.1%,26.2%,44.2%,26.5%,1448
New Hampshire,Strafford,12.6%,10.1%,20.1%,22.8%,13.5%,20.8%,7.6%,28.9%,41.7%,21.9%,1453
New Hampshire,Sullivan,7.0%,10.4%,17.2%,22.9%,12.7%,29.9%,7.4%,29.2%,40.6%,22.9%,1454
New Jersey,Atlantic,12.7%,10.9%,16.0%,29.6%,17.7%,13.1%,13.5%,34.3%,36.4%,15.7%,1461
New Jersey,Bergen,4.9%,4.9%,7.6%,24.9%,36.7%,21.0%,8.0%,34.6%,40.2%,17.2%,1465
New Jersey,Burlington,10.0%,14.0%,14.6%,34.3%,16.1%,11.1%,4.9%,30.9%,42.7%,21.5%,1470
New Jersey,Camden,5.8%,7.4%,11.5%,31.2%,26.1%,18.0%,11.4%,35.2%,36.9%,16.5%,1472
New Jersey,Cape May,10.9%,9.7%,17.3%,27.0%,19.9%,15.2%,9.3%,37.5%,38.4%,14.8%,1477
New Jersey,Cumberland,8.2%,8.7%,8.2%,32.5%,22.8%,19.6%,11.5%,34.5%,35.0%,19.0%,1482
New Jersey,Essex,6.4%,4.7%,5.3%,22.2%,31.4%,30.0%,22.7%,39.2%,28.0%,10.2%,1483
New Jersey,Gloucester,14.2%,14.1%,14.4%,27.6%,18.2%,11.5%,5.7%,29.0%,42.8%,22.6%,1484
New Jersey,Hudson,8.6%,5.5%,6.6%,18.6%,22.5%,38.2%,33.8%,43.3%,17.7%,5.2%,1487
New Jersey,Hunterdon,9.5%,15.1%,21.0%,23.9%,12.8%,17.8%,3.0%,23.4%,43.5%,30.1%,1488
New Jersey,Mercer,8.4%,9.4%,11.9%,26.3%,22.8%,21.2%,11.6%,32.8%,38.6%,17.0%,1493
New Jersey,Middlesex,8.1%,10.7%,16.0%,28.3%,25.7%,11.3%,8.3%,33.5%,40.0%,18.2%,1497
New Jersey,Monmouth,8.7%,12.3%,15.9%,29.4%,19.3%,14.4%,7.9%,30.0%,41.1%,21.0%,1504
New Jersey,Morris,7.9%,11.5%,12.7%,31.3%,23.3%,13.3%,5.1%,27.3%,44.8%,22.9%,1511
New Jersey,Ocean,13.1%,14.3%,18.6%,37.0%,12.8%,4.2%,6.8%,37.4%,37.6%,18.2%,1546
New Jersey,Passaic,4.3%,4.7%,5.6%,22.7%,40.1%,22.6%,16.6%,36.2%,32.6%,14.6%,1551
New Jersey,Salem,8.5%,6.8%,9.7%,28.7%,24.3%,22.1%,8.2%,30.9%,37.9%,22.9%,1553
New Jersey,Somerset,9.4%,19.1%,19.3%,24.4%,17.1%,10.7%,5.2%,28.9%,44.5%,21.5%,1558
New Jersey,Sussex,8.5%,9.6%,16.3%,33.9%,17.8%,14.0%,3.6%,24.1%,44.4%,27.9%,1561
New Jersey,Union,4.2%,3.3%,4.6%,24.3%,41.0%,22.5%,11.6%,38.2%,34.3%,16.0%,1566
New Jersey,Warren,10.2%,12.0%,12.1%,24.8%,15.4%,25.5%,5.2%,29.5%,42.8%,22.5%,1570
New Mexico,Bernalillo,16.1%,16.4%,15.4%,31.1%,17.6%,3.3%,5.9%,35.9%,38.9%,19.3%,1574
New Mexico,Catron,6.4%,25.1%,12.3%,31.4%,14.2%,10.6%,1.3%,27.7%,38.9%,32.1%,1576
New Mexico,Chaves,7.4%,10.3%,11.8%,32.2%,29.9%,8.4%,5.7%,31.2%,42.5%,20.6%,1578
New Mexico,Cibola,4.0%,15.4%,18.3%,42.4%,16.0%,3.9%,10.6%,30.5%,34.3%,24.6%,1580
New Mexico,Colfax,5.2%,12.2%,19.5%,27.8%,17.4%,17.9%,5.2%,31.1%,39.0%,24.7%,1582
New Mexico,Curry,8.1%,10.7%,11.3%,39.1%,24.4%,6.5%,6.3%,35.8%,37.1%,20.8%,1586
New Mexico,De Baca,5.4%,10.5%,11.0%,23.5%,30.2%,19.5%,2.4%,39.8%,36.1%,21.7%,1589
New Mexico,Do�a Ana,19.1%,23.2%,21.0%,23.6%,9.5%,3.6%,5.6%,31.8%,37.4%,25.1%,
New Mexico,Eddy,5.7%,11.7%,15.4%,31.5%,30.4%,5.3%,3.6%,32.1%,37.8%,26.4%,1592
New Mexico,Grant,6.8%,21.5%,14.5%,32.2%,13.7%,11.3%,4.7%,29.5%,40.7%,25.1%,1594
New Mexico,Guadalupe,4.8%,12.1%,13.1%,23.2%,22.3%,24.5%,4.0%,33.0%,37.0%,26.1%,1595
New Mexico,Harding,7.2%,13.1%,7.8%,25.2%,12.1%,34.6%,3.4%,25.5%,26.5%,44.5%,1597
New Mexico,Hidalgo,4.9%,16.8%,11.0%,42.2%,16.8%,8.2%,9.6%,29.6%,35.7%,25.0%,1600
New Mexico,Lea,5.4%,7.1%,17.7%,39.8%,27.1%,3.0%,5.0%,30.9%,39.4%,24.8%,1604
New Mexico,Lincoln,13.1%,20.0%,21.1%,29.2%,9.2%,7.5%,2.3%,34.4%,36.9%,26.4%,1613
New Mexico,Los Alamos,12.2%,10.2%,8.4%,41.4%,27.5%,0.3%,2.4%,28.4%,37.9%,31.3%,1618
New Mexico,Luna,14.3%,18.1%,21.4%,28.3%,13.9%,4.0%,7.0%,40.6%,31.0%,21.4%,1622
New Mexico,McKinley,6.0%,19.2%,26.0%,35.8%,9.9%,3.0%,13.1%,38.9%,31.8%,16.2%,1626
New Mexico,Mora,5.6%,21.2%,14.7%,17.1%,12.9%,28.4%,5.3%,22.1%,39.9%,32.6%,1629
New Mexico,Otero,13.2%,19.0%,21.3%,29.0%,13.1%,4.5%,4.1%,31.1%,40.8%,24.0%,1633
New Mexico,Quay,3.3%,10.3%,20.1%,25.5%,26.5%,14.3%,8.5%,33.5%,33.4%,24.6%,1637
New Mexico,Rio Arriba,7.4%,22.5%,19.5%,27.0%,11.7%,11.8%,5.6%,25.5%,35.2%,33.7%,1639
New Mexico,Roosevelt,5.6%,15.6%,13.0%,30.5%,27.2%,8.1%,4.8%,28.9%,40.1%,26.1%,1642
New Mexico,Sandoval,29.0%,25.7%,22.7%,17.9%,2.7%,2.0%,3.9%,27.5%,40.3%,28.3%,1646
New Mexico,San Juan,10.3%,23.4%,21.0%,30.8%,12.3%,2.1%,5.3%,30.1%,37.8%,26.7%,1650
New Mexico,San Miguel,4.2%,21.9%,15.0%,25.7%,15.9%,17.3%,5.9%,34.1%,33.4%,26.6%,1652
New Mexico,Santa Fe,16.3%,25.3%,19.1%,23.3%,9.7%,6.3%,4.5%,33.7%,37.8%,24.1%,1654
New Mexico,Sierra,5.5%,19.7%,19.8%,29.2%,15.5%,10.3%,8.2%,40.8%,30.9%,20.1%,1657
New Mexico,Socorro,6.6%,18.7%,17.3%,29.3%,14.7%,13.5%,5.2%,38.7%,32.1%,24.0%,1659
New Mexico,Taos,5.7%,23.0%,19.4%,26.2%,10.9%,14.8%,5.3%,36.8%,33.9%,23.9%,1662
New Mexico,Torrance,6.1%,36.8%,18.3%,25.3%,7.2%,6.4%,4.4%,30.0%,33.9%,31.7%,1664
New Mexico,Union,2.4%,11.8%,9.0%,25.9%,26.5%,24.3%,3.8%,25.6%,40.7%,29.9%,1667
New Mexico,Valencia,11.2%,29.3%,21.0%,28.4%,7.0%,3.1%,4.9%,30.8%,36.6%,27.7%,1670
New York,Albany,5.2%,8.0%,9.6%,24.2%,22.0%,31.0%,12.3%,38.4%,35.9%,13.3%,1673
New York,Allegany,5.1%,11.4%,8.8%,21.6%,13.0%,40.2%,7.3%,33.8%,42.2%,16.7%,1674
New York,Bronx,4.3%,3.9%,3.8%,22.2%,28.5%,37.4%,58.8%,30.5%,8.6%,2.1%,1681
New York,Broome,2.6%,5.4%,9.7%,25.5%,26.9%,29.8%,11.6%,36.4%,36.5%,15.5%,1683
New York,Cattaraugus,5.3%,9.5%,9.8%,19.2%,15.3%,40.9%,8.1%,37.8%,38.7%,15.3%,1687
New York,Cayuga,4.8%,8.9%,9.3%,20.8%,12.9%,43.3%,9.3%,34.5%,38.3%,17.8%,1689
New York,Chautauqua,3.6%,6.4%,7.1%,17.2%,19.8%,46.0%,10.9%,37.6%,37.2%,14.4%,1694
New York,Chemung,3.5%,5.2%,5.8%,22.6%,24.3%,38.5%,10.8%,37.1%,37.0%,15.1%,1696
New York,Chenango,4.7%,11.5%,11.8%,21.6%,10.2%,40.3%,6.2%,32.6%,40.5%,20.7%,1699
New York,Clinton,9.1%,13.3%,14.1%,22.4%,15.8%,25.2%,10.2%,32.2%,39.4%,18.3%,1702
New York,Columbia,5.8%,8.4%,12.3%,24.4%,14.9%,34.3%,6.0%,33.4%,38.3%,22.3%,1704
New York,Cortland,4.6%,9.0%,8.2%,22.4%,14.1%,41.7%,10.6%,33.7%,38.7%,17.0%,1706
New York,Delaware,4.4%,9.8%,12.7%,23.1%,12.0%,38.0%,7.1%,33.5%,40.7%,18.7%,1707
New York,Dutchess,8.1%,9.2%,14.6%,30.7%,18.4%,19.0%,7.3%,30.6%,39.3%,22.8%,1711
New York,Erie,4.6%,6.7%,6.6%,21.9%,29.0%,31.2%,13.7%,38.1%,35.4%,12.8%,1723
New York,Essex,4.8%,9.6%,12.1%,20.3%,12.9%,40.4%,6.8%,36.6%,41.2%,15.4%,1728
New York,Franklin,4.8%,11.5%,11.5%,19.6%,14.1%,38.6%,11.0%,35.1%,37.8%,16.1%,1731
New York,Fulton,5.5%,8.4%,9.0%,18.2%,17.7%,41.3%,8.3%,37.4%,38.0%,16.2%,1734
New York,Genesee,4.2%,9.1%,8.8%,21.5%,15.3%,41.2%,6.6%,33.4%,40.7%,19.3%,1736
New York,Greene,5.8%,11.0%,12.6%,22.7%,15.8%,32.2%,6.8%,35.5%,39.0%,18.7%,1739
New York,Hamilton,3.9%,10.4%,11.9%,23.9%,14.5%,35.4%,3.1%,35.0%,45.7%,16.2%,1742
New York,Herkimer,4.3%,8.2%,9.3%,19.9%,16.0%,42.2%,9.7%,34.7%,39.3%,16.2%,1745
New York,Jefferson,7.0%,11.6%,15.8%,15.3%,12.2%,38.1%,9.0%,35.2%,40.9%,15.0%,1782
New York,Kings,3.7%,2.7%,2.9%,15.6%,23.6%,51.6%,56.5%,33.0%,8.7%,1.9%,1788
New York,Lewis,3.5%,12.0%,16.4%,18.7%,10.0%,39.4%,6.4%,30.5%,43.4%,19.6%,1790
New York,Livingston,6.8%,11.9%,13.0%,23.1%,11.7%,33.5%,4.9%,30.2%,42.9%,22.0%,1791
New York,Madison,6.6%,11.6%,12.6%,20.0%,15.2%,34.0%,5.8%,32.2%,43.4%,18.7%,1796
New York,Monroe,5.9%,8.4%,10.0%,29.0%,20.2%,26.6%,11.2%,35.6%,38.5%,14.7%,1804
New York,Montgomery,4.3%,6.4%,7.3%,15.7%,19.5%,46.8%,10.7%,38.2%,35.8%,15.3%,1807
New York,Nassau,2.5%,2.6%,4.2%,18.2%,51.5%,21.0%,7.2%,28.3%,42.7%,21.7%,1839
New York,New York,5.0%,3.1%,5.9%,21.2%,18.5%,46.3%,77.7%,19.8%,2.2%,0.3%,1847
New York,Niagara,4.7%,8.6%,7.7%,20.7%,27.8%,30.4%,9.5%,37.1%,38.2%,15.2%,1850
New York,Oneida,3.8%,7.7%,8.0%,20.5%,24.9%,35.1%,11.0%,36.1%,37.0%,15.8%,1852
New York,Onondaga,5.3%,7.2%,10.9%,26.7%,24.4%,25.5%,12.1%,37.6%,36.9%,13.3%,1853
New York,Ontario,10.6%,11.7%,13.7%,22.7%,10.2%,31.1%,6.8%,31.3%,42.4%,19.4%,1856
New York,Orange,10.2%,12.0%,14.9%,24.3%,15.0%,23.6%,9.3%,29.3%,39.4%,22.0%,1859
New York,Orleans,4.2%,10.5%,9.0%,19.0%,10.3%,47.0%,7.1%,32.1%,39.0%,21.8%,1862
New York,Oswego,5.8%,13.1%,15.7%,21.3%,12.5%,31.5%,7.6%,33.8%,40.3%,18.3%,1864
New York,Otsego,5.9%,11.9%,10.5%,19.2%,9.6%,43.0%,8.2%,33.2%,39.3%,19.3%,1868
New York,Putnam,7.4%,9.0%,13.9%,31.4%,23.0%,15.3%,3.4%,24.6%,43.6%,28.3%,1870
New York,Queens,3.4%,2.6%,3.3%,19.7%,38.8%,32.2%,36.3%,40.2%,18.1%,5.3%,1872
New York,Rensselaer,7.3%,8.9%,10.2%,20.1%,17.2%,36.3%,10.3%,34.7%,37.2%,17.9%,1874
New York,Richmond,7.8%,11.6%,15.2%,31.5%,13.8%,20.2%,15.7%,37.0%,34.4%,12.9%,1876
New York,Rockland,5.7%,10.6%,11.4%,41.4%,18.4%,12.5%,9.6%,29.6%,40.5%,20.3%,1879
New York,St. Lawrence,5.1%,10.8%,10.1%,21.3%,16.1%,36.5%,7.8%,34.9%,42.3%,15.0%,1883
New York,Saratoga,13.2%,15.1%,18.1%,25.9%,9.7%,18.0%,5.1%,31.5%,45.4%,18.0%,1885
New York,Schenectady,5.1%,6.3%,5.9%,19.1%,27.2%,36.3%,11.2%,35.9%,38.9%,14.0%,1887
New York,Schoharie,4.2%,14.4%,14.1%,21.5%,11.2%,34.6%,6.4%,32.0%,37.8%,23.9%,1888
New York,Schuyler,5.5%,13.0%,11.3%,22.8%,12.9%,34.5%,7.4%,30.7%,41.0%,20.9%,1889
New York,Seneca,5.8%,8.3%,11.0%,21.2%,16.3%,37.3%,4.9%,34.3%,42.6%,18.2%,1890
New York,Steuben,4.7%,10.6%,9.0%,21.8%,14.8%,39.1%,8.0%,34.3%,39.5%,18.2%,1891
New York,Suffolk,6.7%,8.1%,9.4%,40.9%,25.2%,9.8%,5.0%,25.3%,43.6%,26.2%,1924
New York,Sullivan,8.9%,9.1%,17.7%,26.2%,17.8%,20.4%,9.4%,36.3%,37.2%,17.2%,1928
New York,Tioga,7.0%,8.2%,11.5%,26.5%,15.0%,31.7%,5.5%,27.1%,43.9%,23.5%,1930
New York,Tompkins,7.2%,12.4%,12.9%,25.3%,13.2%,28.9%,12.9%,38.0%,34.4%,14.8%,1933
New York,Ulster,8.2%,8.5%,12.8%,23.1%,19.3%,28.1%,7.6%,32.6%,38.9%,20.9%,1935
New York,Warren,8.9%,12.0%,13.5%,24.2%,14.5%,26.9%,7.3%,35.6%,40.0%,17.2%,1938
New York,Washington,7.5%,11.7%,13.0%,17.1%,11.7%,39.1%,6.6%,31.9%,40.2%,21.3%,1942
New York,Wayne,5.6%,13.0%,13.8%,22.0%,10.8%,34.7%,6.4%,31.1%,40.7%,21.8%,1952
New York,Westchester,4.2%,4.7%,7.6%,23.0%,29.6%,30.9%,14.2%,36.5%,34.4%,14.9%,1960
New York,Wyoming,4.5%,10.2%,8.9%,18.3%,11.2%,46.9%,5.7%,31.5%,41.7%,21.0%,1962
New York,Yates,9.5%,11.1%,11.3%,16.9%,9.8%,41.4%,10.2%,32.3%,38.6%,18.8%,1965
North Carolina,Alamance,17.0%,21.5%,14.1%,22.7%,17.7%,6.9%,6.1%,31.2%,36.7%,26.0%,1967
North Carolina,Alexander,12.7%,22.4%,18.3%,30.1%,12.2%,4.3%,4.1%,24.0%,38.0%,33.9%,1968
North Carolina,Alleghany,6.4%,18.4%,17.4%,39.6%,10.8%,7.5%,6.0%,36.0%,38.2%,19.8%,1970
North Carolina,Anson,3.0%,14.9%,13.4%,36.7%,17.5%,14.5%,8.2%,31.8%,31.5%,28.4%,1972
North Carolina,Ashe,9.9%,20.2%,17.8%,29.2%,15.4%,7.5%,7.5%,28.8%,34.7%,29.1%,1975
North Carolina,Avery,8.0%,15.3%,23.3%,30.1%,13.5%,9.8%,8.2%,29.2%,34.9%,27.7%,1977
North Carolina,Beaufort,13.6%,21.3%,17.6%,26.8%,12.4%,8.3%,9.3%,27.6%,38.4%,24.8%,1981
North Carolina,Bertie,10.6%,21.3%,14.8%,30.4%,12.6%,10.2%,10.1%,29.0%,36.3%,24.5%,1983
North Carolina,Bladen,7.6%,22.3%,15.5%,34.4%,14.0%,6.2%,9.6%,36.6%,27.9%,25.9%,1986
North Carolina,Brunswick,28.6%,26.0%,22.6%,16.7%,4.4%,1.7%,5.7%,29.7%,44.1%,20.6%,1995
North Carolina,Buncombe,17.0%,17.6%,15.6%,25.1%,13.6%,11.1%,6.7%,34.2%,37.8%,21.4%,1422
North Carolina,Burke,9.6%,17.6%,16.9%,31.9%,17.3%,6.8%,7.3%,28.8%,35.4%,28.5%,1424
North Carolina,Cabarrus,24.9%,23.2%,13.9%,17.6%,13.4%,7.0%,4.8%,28.0%,43.3%,24.0%,1426
North Carolina,Caldwell,10.7%,16.6%,17.1%,31.2%,18.8%,5.6%,5.7%,27.9%,37.3%,29.1%,1429
North Carolina,Camden,20.8%,24.1%,16.0%,20.2%,9.3%,9.7%,1.2%,24.9%,30.8%,43.1%,1433
North Carolina,Carteret,17.5%,23.1%,20.9%,22.6%,11.0%,4.9%,4.8%,33.4%,41.6%,20.3%,1447
North Carolina,Caswell,13.0%,19.3%,15.0%,29.5%,15.6%,7.6%,7.4%,22.4%,36.8%,33.3%,1449
North Carolina,Catawba,14.8%,20.6%,17.4%,26.1%,15.2%,6.0%,5.7%,29.2%,38.2%,26.9%,1450
North Carolina,Chatham,24.5%,22.9%,17.2%,21.0%,9.9%,4.4%,5.6%,26.7%,38.3%,29.4%,1451
North Carolina,Cherokee,9.6%,25.1%,20.2%,29.5%,10.0%,5.6%,5.5%,28.3%,36.3%,29.8%,1452
North Carolina,Chowan,6.3%,16.0%,15.8%,31.5%,15.7%,14.7%,13.3%,33.4%,32.3%,21.0%,1455
North Carolina,Clay,15.3%,25.3%,18.8%,24.9%,11.8%,3.9%,4.4%,36.1%,35.5%,24.0%,1457
North Carolina,Cleveland,10.4%,18.1%,16.7%,32.4%,14.7%,7.6%,7.3%,31.6%,35.8%,25.3%,1458
North Carolina,Columbus,8.1%,23.4%,13.7%,29.4%,17.0%,8.3%,9.1%,33.4%,32.3%,25.2%,1459
North Carolina,Craven,18.5%,21.4%,18.3%,25.7%,11.8%,4.4%,8.2%,33.4%,38.8%,19.6%,1462
North Carolina,Cumberland,18.2%,20.3%,17.0%,33.0%,9.1%,2.3%,6.1%,35.0%,37.9%,21.0%,1464
North Carolina,Currituck,23.3%,23.9%,17.7%,22.9%,7.6%,4.6%,2.6%,24.4%,38.6%,34.5%,1481
North Carolina,Dare,16.4%,22.0%,29.5%,23.0%,5.5%,3.6%,1.5%,31.7%,43.1%,23.7%,1485
North Carolina,Davidson,15.8%,20.3%,16.5%,26.0%,15.3%,6.3%,5.4%,27.2%,39.4%,28.1%,1489
North Carolina,Davie,20.8%,24.6%,12.6%,23.7%,10.2%,8.3%,3.3%,23.4%,39.7%,33.6%,1490
North Carolina,Duplin,10.4%,21.7%,17.8%,26.0%,16.2%,7.9%,8.0%,30.3%,35.8%,25.9%,1492
North Carolina,Durham,21.8%,19.5%,18.0%,24.7%,10.2%,5.8%,8.0%,38.8%,36.9%,16.3%,1494
North Carolina,Edgecombe,13.5%,17.3%,11.2%,32.9%,13.9%,11.2%,13.3%,33.8%,29.5%,23.4%,1495
North Carolina,Forsyth,15.8%,15.6%,16.5%,29.5%,15.6%,6.9%,7.5%,34.8%,37.5%,20.1%,1496
North Carolina,Franklin,17.9%,33.3%,17.5%,17.9%,7.6%,5.9%,5.5%,23.9%,39.5%,31.1%,1498
North Carolina,Gaston,13.9%,16.2%,15.1%,29.5%,17.8%,7.5%,6.1%,33.0%,37.8%,23.1%,1499
North Carolina,Gates,6.4%,25.6%,24.8%,20.0%,11.7%,11.5%,4.3%,24.0%,38.8%,32.8%,1500
North Carolina,Graham,13.3%,23.5%,21.1%,27.5%,11.1%,3.6%,6.8%,30.3%,37.8%,25.1%,1502
North Carolina,Granville,23.8%,25.6%,14.0%,21.3%,9.6%,5.7%,5.8%,27.7%,36.6%,30.0%,1503
North Carolina,Greene,8.8%,21.0%,13.4%,36.6%,11.4%,8.8%,3.9%,26.9%,37.2%,32.0%,1505
North Carolina,Guilford,16.8%,20.5%,16.0%,27.3%,14.6%,4.8%,7.5%,35.7%,37.1%,19.8%,1506
North Carolina,Halifax,7.9%,17.6%,18.6%,27.4%,19.4%,9.1%,12.3%,32.5%,31.9%,23.3%,1508
North Carolina,Harnett,21.2%,26.4%,16.5%,20.6%,9.3%,6.1%,5.2%,29.6%,39.3%,25.9%,1509
North Carolina,Haywood,13.0%,18.3%,14.9%,25.6%,18.0%,10.3%,4.8%,29.1%,41.8%,24.3%,1512
North Carolina,Henderson,15.4%,24.0%,19.4%,25.4%,10.1%,5.6%,4.7%,30.8%,42.1%,22.3%,1514
North Carolina,Hertford,5.9%,15.1%,15.5%,33.3%,18.0%,12.2%,12.6%,32.2%,31.9%,23.3%,1515
North Carolina,Hoke,29.7%,28.2%,12.5%,17.8%,8.0%,3.8%,6.7%,27.2%,34.6%,31.5%,1517
North Carolina,Hyde,10.6%,19.3%,8.7%,33.8%,8.5%,19.1%,7.0%,38.1%,32.4%,22.5%,1521
North Carolina,Iredell,25.0%,23.0%,12.1%,22.4%,11.9%,5.7%,4.4%,26.1%,40.4%,29.1%,1525
North Carolina,Jackson,10.5%,23.1%,18.6%,32.5%,8.7%,6.8%,5.7%,34.3%,38.3%,21.7%,1528
North Carolina,Johnston,26.4%,28.0%,15.2%,17.4%,7.9%,5.1%,4.3%,28.0%,41.2%,26.5%,1530
North Carolina,Jones,12.1%,17.6%,14.0%,32.0%,13.8%,10.5%,10.0%,27.0%,37.4%,25.5%,1536
North Carolina,Lee,15.7%,21.7%,14.9%,30.0%,12.3%,5.4%,8.0%,27.4%,38.0%,26.6%,1540
North Carolina,Lenoir,10.6%,19.7%,11.9%,32.4%,17.9%,7.4%,10.8%,34.3%,34.1%,20.9%,1542
North Carolina,Lincoln,22.2%,22.8%,16.1%,22.2%,10.2%,6.5%,3.5%,25.2%,40.8%,30.5%,1545
North Carolina,McDowell,6.0%,23.2%,17.4%,27.1%,17.5%,8.9%,7.5%,29.7%,37.7%,25.1%,1554
North Carolina,Macon,14.5%,20.7%,22.6%,29.5%,8.5%,4.3%,5.7%,31.8%,38.7%,23.8%,1556
North Carolina,Madison,9.5%,20.6%,12.0%,30.0%,14.0%,14.0%,6.9%,25.5%,35.1%,32.5%,1560
North Carolina,Martin,7.3%,18.7%,16.6%,31.6%,17.5%,8.3%,9.5%,31.8%,34.4%,24.4%,1563
North Carolina,Mecklenburg,25.1%,23.2%,17.1%,21.9%,9.7%,3.0%,6.7%,37.0%,40.6%,15.8%,1565
North Carolina,Mitchell,7.7%,16.5%,17.2%,29.7%,18.7%,10.2%,8.7%,31.3%,34.5%,25.6%,1568
North Carolina,Montgomery,9.3%,19.0%,15.6%,31.7%,15.5%,8.9%,6.2%,30.4%,35.0%,28.4%,1573
North Carolina,Moore,19.2%,25.0%,19.2%,21.2%,9.3%,6.1%,4.4%,30.3%,42.5%,22.8%,1584
North Carolina,Nash,17.3%,21.5%,17.6%,26.9%,11.1%,5.6%,7.9%,30.9%,35.7%,25.5%,1588
North Carolina,New Hanover,21.4%,25.7%,15.2%,21.5%,10.7%,5.6%,6.3%,35.8%,40.0%,17.9%,1602
North Carolina,Northampton,8.4%,16.0%,15.3%,30.4%,16.5%,13.3%,12.3%,31.0%,28.8%,27.8%,1606
North Carolina,Onslow,22.5%,19.4%,20.7%,25.7%,10.0%,1.7%,4.7%,32.7%,42.1%,20.6%,1625
North Carolina,Orange,17.5%,20.6%,20.4%,27.8%,9.3%,4.4%,7.0%,34.1%,36.7%,22.2%,1630
North Carolina,Pamlico,11.3%,27.8%,19.1%,25.6%,8.9%,7.3%,4.5%,30.1%,41.7%,23.7%,1703
North Carolina,Pasquotank,21.2%,17.8%,14.4%,21.9%,16.6%,8.2%,8.8%,30.7%,37.8%,22.7%,1714
North Carolina,Pender,19.4%,30.2%,18.7%,20.2%,6.8%,4.7%,6.5%,26.0%,41.0%,26.6%,1718
North Carolina,Perquimans,9.6%,22.1%,15.7%,31.6%,11.6%,9.4%,7.3%,24.0%,40.1%,28.6%,1724
North Carolina,Person,11.0%,23.5%,15.6%,25.8%,17.6%,6.5%,4.6%,27.5%,32.8%,35.1%,1729
North Carolina,Pitt,25.5%,25.8%,15.3%,22.3%,7.6%,3.5%,8.3%,36.5%,35.8%,19.4%,1733
North Carolina,Polk,9.5%,22.3%,18.6%,28.1%,12.6%,8.9%,4.3%,28.1%,37.9%,29.6%,1738
North Carolina,Randolph,13.8%,22.2%,17.8%,26.6%,13.7%,5.8%,4.7%,28.3%,36.7%,30.3%,1741
North Carolina,Richmond,7.5%,16.7%,16.1%,31.1%,19.8%,8.8%,10.6%,36.0%,30.6%,22.9%,1744
North Carolina,Robeson,9.6%,25.8%,18.3%,28.6%,11.5%,6.2%,9.5%,36.4%,31.8%,22.3%,1747
North Carolina,Rockingham,10.5%,17.2%,12.5%,30.1%,19.7%,10.0%,7.0%,28.6%,34.5%,29.9%,1751
North Carolina,Rowan,13.9%,19.5%,15.2%,25.3%,16.6%,9.4%,6.2%,28.6%,38.0%,27.3%,1754
North Carolina,Rutherford,9.8%,18.1%,15.7%,29.7%,17.6%,9.1%,7.1%,31.2%,37.0%,24.7%,1764
North Carolina,Sampson,10.7%,25.2%,14.1%,27.7%,14.5%,7.8%,7.0%,29.4%,34.3%,29.3%,1769
North Carolina,Scotland,7.2%,22.6%,17.5%,36.3%,10.8%,5.5%,12.9%,37.1%,30.7%,19.3%,1772
North Carolina,Stanly,11.5%,16.2%,14.0%,29.9%,18.1%,10.3%,4.6%,24.7%,38.7%,31.9%,1775
North Carolina,Stokes,11.0%,23.5%,16.4%,30.8%,11.1%,7.3%,4.3%,24.0%,36.3%,35.3%,1777
North Carolina,Surry,9.0%,17.9%,14.9%,31.9%,17.5%,8.8%,6.9%,30.8%,34.6%,27.8%,1780
North Carolina,Swain,10.0%,22.8%,17.7%,30.3%,11.6%,7.6%,8.4%,28.4%,34.8%,28.5%,1784
North Carolina,Transylvania,7.4%,21.3%,18.0%,34.2%,13.6%,5.5%,5.5%,32.2%,39.1%,23.1%,1786
North Carolina,Tyrrell,9.9%,18.2%,11.2%,29.7%,12.4%,18.6%,10.3%,30.4%,42.2%,17.2%,1794
North Carolina,Union,32.8%,25.1%,12.6%,18.6%,7.3%,3.5%,3.2%,22.0%,46.1%,28.8%,1798
North Carolina,Vance,10.1%,22.5%,18.4%,23.5%,18.1%,7.4%,12.4%,31.4%,33.0%,23.2%,1801
North Carolina,Wake,28.7%,25.6%,18.8%,18.4%,6.1%,2.3%,4.8%,32.7%,43.2%,19.3%,1805
North Carolina,Warren,10.3%,22.6%,19.4%,23.3%,13.0%,11.4%,8.9%,30.1%,37.6%,23.4%,1809
North Carolina,Washington,7.6%,14.3%,14.6%,30.0%,17.0%,16.6%,13.4%,32.1%,34.7%,19.7%,1811
North Carolina,Watauga,9.7%,19.8%,21.6%,35.0%,8.2%,5.6%,4.2%,32.1%,42.9%,20.8%,1813
North Carolina,Wayne,15.8%,22.1%,15.9%,28.4%,12.5%,5.3%,7.8%,31.8%,37.1%,23.3%,1814
