County,State,Households with one or more people under 18 years,Households with one or more people 60 years and over,1-unit structures,2-unit structures,Mobile homes and all other types of units
Mifflin County,Pennsylvania,27.5%,45.1%,80.8%,11.3%,7.9%
Monroe County,Pennsylvania,29.7%,47.1%,87.2%,8.6%,4.2%
Montgomery County,Pennsylvania,31.7%,42.2%,75.8%,23.3%,0.8%
Montour County,Pennsylvania,27.8%,47.6%,79.3%,14.4%,6.2%
Northampton County,Pennsylvania,27.8%,45.3%,80.1%,18.0%,1.9%
Northumberland County,Pennsylvania,26.1%,46.6%,81.1%,14.2%,4.7%
Perry County,Pennsylvania,29.3%,44.1%,82.0%,7.2%,10.8%
Philadelphia County,Pennsylvania,27.0%,36.5%,67.2%,32.5%,0.3%
Pike County,Pennsylvania,28.5%,48.9%,93.5%,4.6%,1.9%
Potter County,Pennsylvania,23.5%,52.2%,79.2%,9.9%,11.0%
Schuylkill County,Pennsylvania,25.7%,45.4%,83.9%,12.3%,3.8%
Snyder County,Pennsylvania,28.3%,46.6%,81.9%,10.9%,7.1%
Somerset County,Pennsylvania,25.7%,49.0%,80.3%,9.6%,10.1%
Sullivan County,Pennsylvania,22.2%,56.5%,87.7%,6.5%,5.8%
Susquehanna County,Pennsylvania,24.6%,51.5%,79.3%,10.1%,10.6%
Tioga County,Pennsylvania,26.0%,47.1%,73.0%,11.7%,15.3%
Union County,Pennsylvania,28.0%,46.6%,77.4%,16.2%,6.4%
Venango County,Pennsylvania,25.4%,49.4%,79.5%,11.5%,9.0%
Warren County,Pennsylvania,24.5%,49.1%,79.2%,13.3%,7.5%
Washington County,Pennsylvania,26.4%,46.5%,81.9%,12.7%,5.5%
Wayne County,Pennsylvania,25.1%,53.4%,84.7%,8.0%,7.4%
Westmoreland County,Pennsylvania,24.5%,48.1%,82.9%,12.1%,4.9%
Wyoming County,Pennsylvania,26.0%,47.6%,79.3%,10.6%,10.1%
York County,Pennsylvania,30.8%,42.4%,81.6%,13.7%,4.7%
Bristol County,Rhode Island,27.5%,45.7%,71.7%,28.3%,0.0%
Kent County,Rhode Island,26.9%,43.9%,71.9%,26.8%,1.3%
Newport County,Rhode Island,25.0%,46.9%,68.7%,29.2%,2.0%
Providence County,Rhode Island,29.5%,39.7%,50.3%,49.2%,0.4%
Washington County,Rhode Island,25.8%,48.0%,80.3%,18.2%,1.6%
Abbeville County,South Carolina,25.4%,49.3%,67.6%,9.3%,23.1%
Aiken County,South Carolina,28.1%,44.9%,73.5%,8.5%,18.0%
Allendale County,South Carolina,26.9%,49.7%,66.7%,8.3%,25.0%
Anderson County,South Carolina,30.4%,43.7%,74.1%,11.2%,14.7%
Bamberg County,South Carolina,27.9%,56.0%,65.7%,8.8%,25.4%
Barnwell County,South Carolina,23.1%,43.9%,61.6%,10.8%,27.6%
Beaufort County,South Carolina,22.7%,53.8%,73.8%,14.7%,11.5%
Berkeley County,South Carolina,34.0%,37.7%,70.5%,12.8%,16.6%
Calhoun County,South Carolina,26.0%,51.9%,59.6%,2.6%,37.8%
Charleston County,South Carolina,24.4%,38.2%,67.6%,26.6%,5.8%
Cherokee County,South Carolina,22.7%,41.4%,61.7%,9.4%,28.9%
Chester County,South Carolina,26.4%,48.4%,72.6%,7.0%,20.4%
Chesterfield County,South Carolina,29.8%,42.7%,56.4%,6.5%,37.1%
Clarendon County,South Carolina,26.2%,57.7%,54.8%,7.0%,38.1%
Colleton County,South Carolina,25.7%,47.7%,50.0%,6.2%,43.8%
Darlington County,South Carolina,29.0%,46.1%,62.6%,7.5%,29.9%
Dillon County,South Carolina,32.6%,44.0%,62.0%,6.2%,31.8%
Dorchester County,South Carolina,33.8%,37.0%,72.0%,15.4%,12.6%
Edgefield County,South Carolina,29.7%,48.7%,72.2%,9.2%,18.6%
Fairfield County,South Carolina,20.8%,53.0%,68.7%,8.7%,22.6%
Florence County,South Carolina,31.6%,41.8%,66.1%,16.4%,17.5%
Georgetown County,South Carolina,22.7%,59.5%,67.5%,11.5%,21.0%
Greenville County,South Carolina,31.8%,38.8%,73.4%,18.8%,7.8%
Greenwood County,South Carolina,29.1%,43.6%,68.7%,19.1%,12.2%
Hampton County,South Carolina,25.1%,48.1%,59.1%,5.3%,35.5%
Horry County,South Carolina,23.4%,52.6%,66.0%,19.0%,15.0%
Jasper County,South Carolina,29.9%,44.9%,61.1%,10.4%,28.5%
Kershaw County,South Carolina,27.0%,45.0%,71.7%,4.2%,24.1%
Lancaster County,South Carolina,28.8%,47.7%,83.4%,5.1%,11.5%
Laurens County,South Carolina,28.6%,43.4%,64.5%,6.6%,29.0%
Lee County,South Carolina,22.6%,50.2%,64.6%,6.8%,28.7%
Lexington County,South Carolina,32.6%,40.0%,73.0%,10.1%,16.9%
McCormick County,South Carolina,13.1%,66.3%,77.3%,6.6%,16.1%
Marion County,South Carolina,29.2%,51.2%,56.3%,11.1%,32.5%
Marlboro County,South Carolina,25.7%,48.5%,63.2%,8.0%,28.8%
Newberry County,South Carolina,27.9%,45.5%,69.9%,6.5%,23.6%
Oconee County,South Carolina,24.4%,48.8%,70.0%,9.8%,20.2%
Orangeburg County,South Carolina,23.6%,50.6%,58.9%,8.6%,32.4%
Pickens County,South Carolina,27.1%,39.4%,65.6%,17.1%,17.2%
Richland County,South Carolina,31.1%,33.8%,70.8%,24.3%,4.9%
Saluda County,South Carolina,27.7%,44.6%,61.2%,4.1%,34.8%
Spartanburg County,South Carolina,31.8%,40.4%,75.6%,12.2%,12.2%
Sumter County,South Carolina,30.2%,40.4%,66.9%,11.6%,21.5%
Union County,South Carolina,30.2%,43.8%,70.1%,9.3%,20.7%
Williamsburg County,South Carolina,28.7%,51.5%,51.2%,7.9%,41.0%
York County,South Carolina,34.5%,36.6%,74.9%,14.7%,10.4%
Aurora County,South Dakota,28.6%,39.0%,85.3%,5.1%,9.6%
Beadle County,South Dakota,32.5%,43.1%,77.3%,15.6%,7.1%
Bennett County,South Dakota,34.6%,42.1%,89.7%,4.2%,6.1%
Bon Homme County,South Dakota,25.2%,49.0%,85.5%,9.8%,4.7%
Brookings County,South Dakota,24.7%,29.8%,65.6%,27.7%,6.7%
Brown County,South Dakota,27.1%,39.3%,67.6%,26.9%,5.5%
Brule County,South Dakota,25.8%,41.7%,70.4%,20.1%,9.5%
Buffalo County,South Dakota,46.3%,40.7%,75.4%,4.4%,20.2%
Butte County,South Dakota,33.4%,46.5%,64.5%,9.4%,26.1%
Campbell County,South Dakota,19.9%,54.6%,83.0%,6.9%,10.2%
Charles Mix County,South Dakota,29.9%,47.9%,87.6%,9.0%,3.4%
Clark County,South Dakota,24.9%,45.7%,86.6%,7.7%,5.7%
Clay County,South Dakota,25.3%,32.3%,63.3%,27.3%,9.4%
Codington County,South Dakota,28.5%,38.4%,71.5%,20.2%,8.3%
Corson County,South Dakota,41.7%,42.3%,79.8%,6.6%,13.6%
Custer County,South Dakota,20.0%,63.2%,72.5%,7.1%,20.4%
Davison County,South Dakota,25.1%,39.0%,68.5%,26.3%,5.3%
Day County,South Dakota,25.0%,50.3%,83.8%,10.5%,5.7%
Deuel County,South Dakota,30.6%,45.8%,86.4%,10.5%,3.1%
Dewey County,South Dakota,45.6%,40.4%,69.3%,10.1%,20.6%
Douglas County,South Dakota,25.5%,44.4%,88.6%,9.8%,1.6%
Edmunds County,South Dakota,27.9%,38.5%,85.0%,4.3%,10.7%
Fall River County,South Dakota,15.1%,55.4%,73.5%,17.6%,9.0%
Faulk County,South Dakota,26.1%,44.3%,81.4%,11.1%,7.5%
Grant County,South Dakota,24.6%,42.4%,88.8%,8.0%,3.2%
Gregory County,South Dakota,23.3%,52.1%,82.9%,11.1%,6.1%
Haakon County,South Dakota,28.0%,54.0%,68.5%,7.0%,24.5%
Hamlin County,South Dakota,38.9%,33.9%,90.9%,4.4%,4.7%
Hand County,South Dakota,24.7%,45.9%,84.4%,10.0%,5.6%
Hanson County,South Dakota,33.0%,46.9%,97.0%,1.3%,1.6%
Harding County,South Dakota,21.5%,44.8%,69.8%,8.1%,22.1%
Hughes County,South Dakota,31.2%,41.6%,64.5%,23.2%,12.3%
Hutchinson County,South Dakota,27.4%,45.8%,86.0%,11.1%,2.9%
Hyde County,South Dakota,25.0%,50.6%,83.4%,3.2%,13.3%
Jackson County,South Dakota,43.4%,47.1%,76.9%,2.9%,20.1%
Jerauld County,South Dakota,24.8%,51.0%,86.7%,7.0%,6.3%
Jones County,South Dakota,24.3%,42.0%,65.9%,11.9%,22.2%
Kingsbury County,South Dakota,23.1%,47.5%,84.5%,9.4%,6.0%
Lake County,South Dakota,23.5%,49.4%,80.1%,16.2%,3.7%
Lawrence County,South Dakota,21.3%,46.7%,65.8%,21.1%,13.2%
Lincoln County,South Dakota,41.2%,32.1%,78.4%,19.9%,1.7%
Lyman County,South Dakota,34.7%,45.7%,82.3%,5.5%,12.3%
McCook County,South Dakota,27.2%,36.5%,87.2%,9.9%,2.9%
McPherson County,South Dakota,15.6%,49.8%,87.2%,8.1%,4.6%
Marshall County,South Dakota,25.6%,50.7%,83.7%,8.9%,7.4%
Meade County,South Dakota,31.4%,39.1%,76.6%,8.8%,14.6%
Mellette County,South Dakota,34.7%,47.6%,63.9%,4.3%,31.9%
Miner County,South Dakota,29.2%,48.3%,86.9%,10.7%,2.4%
Minnehaha County,South Dakota,31.8%,32.2%,66.0%,29.7%,4.3%
Moody County,South Dakota,30.4%,44.4%,83.7%,11.7%,4.6%
Oglala Lakota County,South Dakota,64.3%,39.9%,65.2%,6.4%,28.4%
Pennington County,South Dakota,26.9%,41.8%,68.8%,20.4%,10.8%
Perkins County,South Dakota,26.3%,46.1%,79.1%,9.1%,11.8%
Potter County,South Dakota,23.4%,48.6%,80.5%,7.3%,12.1%
Roberts County,South Dakota,31.8%,46.9%,85.8%,7.7%,6.5%
Sanborn County,South Dakota,28.4%,44.9%,85.0%,7.8%,7.2%
Spink County,South Dakota,26.5%,45.2%,83.5%,10.5%,5.9%
Stanley County,South Dakota,25.0%,47.4%,64.5%,12.0%,23.5%
Sully County,South Dakota,21.3%,50.4%,86.6%,2.7%,10.7%
Todd County,South Dakota,53.1%,34.9%,65.5%,14.0%,20.5%
Tripp County,South Dakota,25.2%,47.4%,79.1%,8.5%,12.3%
Turner County,South Dakota,32.2%,40.9%,88.4%,8.0%,3.7%
Union County,South Dakota,28.5%,36.7%,75.3%,20.7%,4.0%
Walworth County,South Dakota,23.7%,44.9%,80.0%,10.7%,9.3%
Yankton County,South Dakota,26.6%,37.5%,74.8%,20.2%,4.9%
Ziebach County,South Dakota,45.3%,41.0%,62.8%,9.2%,28.0%
Anderson County,Tennessee,29.9%,45.5%,69.9%,17.3%,12.8%
Bedford County,Tennessee,35.4%,41.3%,75.6%,11.1%,13.3%
Benton County,Tennessee,24.3%,53.8%,68.8%,4.5%,26.7%
Bledsoe County,Tennessee,29.1%,43.3%,68.8%,4.9%,26.3%
Blount County,Tennessee,27.8%,46.1%,79.1%,10.5%,10.4%
Bradley County,Tennessee,30.6%,40.8%,73.9%,16.3%,9.7%
Campbell County,Tennessee,31.0%,44.5%,73.0%,11.7%,15.3%
Cannon County,Tennessee,28.1%,44.5%,80.6%,4.6%,14.7%
Carroll County,Tennessee,31.1%,45.2%,77.1%,7.5%,15.4%
Carter County,Tennessee,26.2%,44.9%,70.2%,11.6%,18.2%
Cheatham County,Tennessee,35.5%,40.8%,79.6%,8.1%,12.3%
Chester County,Tennessee,34.6%,46.4%,75.4%,6.7%,17.9%
Claiborne County,Tennessee,30.4%,43.0%,69.0%,5.5%,25.4%
Clay County,Tennessee,25.9%,51.0%,69.4%,6.1%,24.5%
Cocke County,Tennessee,27.6%,49.7%,64.8%,5.8%,29.4%
Coffee County,Tennessee,30.2%,41.2%,74.6%,13.7%,11.7%
Crockett County,Tennessee,33.4%,43.4%,80.9%,5.8%,13.2%
Cumberland County,Tennessee,24.6%,55.9%,77.2%,8.8%,14.0%
Davidson County,Tennessee,26.4%,30.2%,62.5%,35.9%,1.6%
Decatur County,Tennessee,25.5%,53.0%,77.5%,3.2%,19.3%
DeKalb County,Tennessee,31.0%,44.8%,75.8%,8.7%,15.6%
Dickson County,Tennessee,31.1%,42.2%,77.8%,9.8%,12.4%
Dyer County,Tennessee,33.6%,39.2%,78.1%,13.8%,8.1%
Fayette County,Tennessee,29.0%,49.9%,83.3%,5.0%,11.7%
Fentress County,Tennessee,29.4%,47.2%,72.8%,8.2%,19.0%
Franklin County,Tennessee,28.6%,45.5%,80.2%,9.3%,10.5%
Gibson County,Tennessee,31.5%,41.4%,75.2%,14.3%,10.5%
Giles County,Tennessee,24.8%,46.9%,76.8%,11.2%,12.1%
Grainger County,Tennessee,27.6%,49.0%,65.8%,4.6%,29.6%
Greene County,Tennessee,28.4%,50.1%,70.8%,6.3%,22.9%
Grundy County,Tennessee,29.7%,45.9%,67.5%,5.3%,27.2%
Hamblen County,Tennessee,31.1%,44.2%,72.8%,17.0%,10.2%
Hamilton County,Tennessee,25.6%,40.2%,74.0%,23.3%,2.7%
Hancock County,Tennessee,31.5%,49.2%,68.7%,8.2%,23.1%
Hardeman County,Tennessee,27.3%,47.8%,73.0%,5.5%,21.5%
Hardin County,Tennessee,28.1%,45.9%,81.5%,5.6%,12.9%
Hawkins County,Tennessee,29.4%,47.3%,69.6%,8.9%,21.5%
Haywood County,Tennessee,28.2%,47.8%,78.7%,11.8%,9.6%
Henderson County,Tennessee,29.6%,44.7%,69.1%,8.0%,23.0%
Henry County,Tennessee,26.9%,50.0%,68.5%,7.3%,24.1%
Hickman County,Tennessee,27.7%,43.9%,76.8%,5.1%,18.2%
Houston County,Tennessee,21.9%,49.4%,78.1%,5.4%,16.5%
Humphreys County,Tennessee,24.3%,46.8%,79.3%,7.1%,13.6%
Jackson County,Tennessee,18.2%,54.5%,67.5%,3.7%,28.8%
Jefferson County,Tennessee,31.2%,47.9%,71.1%,7.7%,21.1%
Johnson County,Tennessee,26.9%,52.1%,74.3%,7.8%,17.9%
Knox County,Tennessee,28.7%,36.8%,73.5%,22.6%,3.9%
Lake County,Tennessee,26.0%,44.3%,69.8%,24.3%,5.9%
Lauderdale County,Tennessee,36.9%,40.4%,77.4%,11.3%,11.3%
Lawrence County,Tennessee,31.8%,44.2%,79.5%,7.8%,12.7%
Lewis County,Tennessee,28.9%,54.1%,71.1%,3.2%,25.7%
Lincoln County,Tennessee,30.5%,44.6%,78.0%,8.3%,13.7%
Loudon County,Tennessee,22.8%,56.0%,84.5%,7.8%,7.7%
McMinn County,Tennessee,30.2%,47.0%,72.1%,10.2%,17.7%
McNairy County,Tennessee,27.6%,49.4%,84.9%,2.4%,12.7%
Macon County,Tennessee,30.2%,38.1%,71.0%,8.8%,20.3%
Madison County,Tennessee,29.7%,41.7%,77.5%,18.0%,4.5%
Marion County,Tennessee,32.3%,45.6%,75.5%,5.6%,18.9%
Marshall County,Tennessee,36.9%,41.8%,80.7%,7.7%,11.5%
Maury County,Tennessee,33.0%,40.9%,75.9%,14.2%,9.9%
Meigs County,Tennessee,28.7%,45.8%,61.7%,2.8%,35.5%
Monroe County,Tennessee,28.5%,46.9%,67.9%,7.6%,24.5%
Montgomery County,Tennessee,40.1%,26.9%,76.8%,19.5%,3.7%
Moore County,Tennessee,28.4%,48.1%,83.9%,1.1%,15.0%
Morgan County,Tennessee,29.3%,47.9%,69.8%,2.7%,27.6%
Obion County,Tennessee,28.2%,45.7%,76.4%,13.2%,10.5%
Overton County,Tennessee,29.6%,48.2%,75.4%,3.7%,20.9%
Perry County,Tennessee,26.1%,50.7%,71.3%,3.6%,25.1%
Pickett County,Tennessee,21.3%,51.7%,75.2%,3.5%,21.3%
Polk County,Tennessee,29.6%,43.1%,70.0%,4.0%,26.1%
Putnam County,Tennessee,28.9%,38.9%,67.1%,24.2%,8.7%
Rhea County,Tennessee,29.3%,48.3%,69.0%,8.6%,22.4%
Roane County,Tennessee,27.1%,52.0%,76.5%,10.8%,12.7%
Robertson County,Tennessee,35.0%,39.2%,84.2%,7.9%,7.9%
Rutherford County,Tennessee,36.2%,29.3%,75.7%,21.3%,3.0%
Scott County,Tennessee,36.8%,41.8%,64.5%,7.9%,27.6%
Sequatchie County,Tennessee,30.0%,47.7%,70.8%,7.5%,21.7%
Sevier County,Tennessee,29.9%,46.0%,71.8%,12.6%,15.6%
Shelby County,Tennessee,30.9%,36.5%,73.5%,25.6%,0.9%
Smith County,Tennessee,32.4%,42.2%,75.2%,6.6%,18.1%
Stewart County,Tennessee,26.3%,51.6%,76.8%,4.5%,18.7%
Sullivan County,Tennessee,26.5%,46.9%,74.3%,15.3%,10.4%
Sumner County,Tennessee,34.2%,40.0%,78.8%,15.2%,6.1%
Tipton County,Tennessee,36.4%,38.7%,84.4%,7.1%,8.5%
Trousdale County,Tennessee,29.8%,38.2%,77.8%,3.4%,18.9%
Unicoi County,Tennessee,25.5%,51.7%,74.0%,7.8%,18.2%
Union County,Tennessee,35.1%,44.5%,67.6%,2.9%,29.6%
Van Buren County,Tennessee,31.2%,51.0%,75.2%,2.5%,22.3%
Warren County,Tennessee,33.0%,42.7%,76.3%,11.8%,11.8%
Washington County,Tennessee,25.2%,40.4%,68.6%,22.6%,8.8%
Wayne County,Tennessee,29.0%,51.5%,69.7%,5.1%,25.3%
Weakley County,Tennessee,27.6%,40.1%,71.3%,15.6%,13.1%
White County,Tennessee,28.2%,47.5%,80.0%,4.1%,15.9%
Williamson County,Tennessee,39.8%,34.7%,84.7%,13.6%,1.7%
Wilson County,Tennessee,37.6%,39.3%,82.0%,11.9%,6.1%
Anderson County,Texas,32.9%,43.1%,67.6%,9.3%,23.1%
Andrews County,Texas,43.2%,36.8%,72.7%,5.9%,21.3%
Angelina County,Texas,37.0%,41.2%,67.3%,13.7%,19.0%
Aransas County,Texas,18.7%,53.1%,66.2%,11.1%,22.7%
Archer County,Texas,32.7%,46.9%,87.0%,3.8%,9.2%
Armstrong County,Texas,29.4%,45.0%,83.6%,6.8%,9.6%
Atascosa County,Texas,39.6%,42.2%,62.1%,4.9%,33.0%
Austin County,Texas,32.0%,44.1%,71.5%,7.8%,20.7%
Bailey County,Texas,36.1%,39.9%,84.5%,8.7%,6.8%
Bandera County,Texas,18.1%,63.7%,69.0%,1.3%,29.7%
Bastrop County,Texas,35.5%,44.4%,69.7%,6.5%,23.8%
Baylor County,Texas,27.9%,52.7%,86.6%,6.5%,7.0%
Bee County,Texas,34.8%,42.4%,75.6%,11.9%,12.4%
Bell County,Texas,36.9%,28.8%,70.1%,24.0%,5.9%
Bexar County,Texas,35.0%,34.2%,69.3%,28.3%,2.4%
Blanco County,Texas,23.2%,54.6%,74.8%,5.8%,19.4%
Borden County,Texas,32.7%,58.3%,81.2%,0.0%,18.8%
Bosque County,Texas,30.0%,53.8%,79.9%,4.1%,16.0%
Bowie County,Texas,33.2%,42.3%,69.1%,17.8%,13.1%
Brazoria County,Texas,40.8%,33.2%,75.4%,14.7%,9.9%
Brazos County,Texas,30.7%,23.8%,57.5%,36.2%,6.3%
Brewster County,Texas,29.1%,45.2%,66.5%,14.0%,19.5%
Briscoe County,Texas,22.4%,46.8%,93.2%,3.6%,3.2%
Brooks County,Texas,31.7%,48.2%,73.8%,17.6%,8.6%
Brown County,Texas,28.0%,45.8%,75.6%,11.8%,12.6%
Burleson County,Texas,25.2%,48.5%,66.0%,8.1%,26.0%
Burnet County,Texas,28.9%,53.1%,74.1%,9.4%,16.4%
Caldwell County,Texas,35.8%,40.6%,61.4%,11.0%,27.6%
Calhoun County,Texas,36.3%,39.5%,76.9%,10.4%,12.6%
Callahan County,Texas,27.0%,50.9%,78.9%,3.3%,17.9%
Cameron County,Texas,44.4%,40.7%,72.6%,18.3%,9.1%
Camp County,Texas,27.3%,45.0%,71.5%,9.3%,19.2%
Carson County,Texas,26.8%,47.0%,88.2%,1.7%,10.2%
Cass County,Texas,29.8%,52.7%,71.3%,6.6%,22.0%
Castro County,Texas,38.9%,38.8%,75.7%,14.2%,10.1%
Chambers County,Texas,45.2%,32.7%,82.5%,3.3%,14.2%
Cherokee County,Texas,34.4%,43.3%,73.4%,7.5%,19.1%
Childress County,Texas,32.5%,42.2%,79.5%,14.7%,5.7%
Clay County,Texas,28.3%,50.3%,85.8%,2.6%,11.5%
Cochran County,Texas,38.3%,41.5%,87.9%,4.4%,7.7%
Coke County,Texas,24.6%,48.9%,77.5%,7.9%,14.6%
Coleman County,Texas,27.2%,51.8%,83.4%,5.0%,11.7%
Collin County,Texas,41.4%,29.1%,73.3%,25.2%,1.5%
Collingsworth County,Texas,37.4%,44.2%,84.1%,10.2%,5.7%
Colorado County,Texas,27.3%,54.3%,77.0%,7.2%,15.8%
Comal County,Texas,31.4%,44.4%,75.8%,14.7%,9.5%
Comanche County,Texas,26.8%,50.3%,81.1%,5.9%,12.9%
Concho County,Texas,15.2%,62.3%,79.1%,2.9%,18.0%
Cooke County,Texas,33.6%,44.6%,79.6%,8.5%,11.9%
Coryell County,Texas,39.4%,32.2%,75.3%,17.7%,7.0%
Cottle County,Texas,29.3%,47.8%,77.7%,22.0%,0.3%
Crane County,Texas,36.9%,34.5%,70.9%,2.5%,26.6%
Crockett County,Texas,30.3%,41.9%,77.3%,7.2%,15.5%
Crosby County,Texas,38.5%,44.8%,84.3%,7.7%,7.9%
Culberson County,Texas,26.3%,46.1%,71.3%,8.7%,20.1%
Dallam County,Texas,35.0%,29.1%,77.2%,7.3%,15.5%
Dallas County,Texas,34.7%,30.5%,59.0%,39.4%,1.6%
Dawson County,Texas,32.9%,39.2%,89.9%,4.6%,5.5%
Deaf Smith County,Texas,40.9%,34.3%,78.3%,12.7%,9.0%
Delta County,Texas,27.7%,47.1%,84.0%,6.1%,9.9%
Denton County,Texas,37.8%,27.9%,72.0%,24.9%,3.1%
DeWitt County,Texas,32.1%,50.4%,77.6%,5.0%,17.4%
Dickens County,Texas,25.8%,59.7%,89.1%,1.7%,9.2%
Dimmit County,Texas,38.5%,40.9%,74.6%,3.7%,21.7%
Donley County,Texas,23.4%,52.3%,84.4%,6.0%,9.6%
Duval County,Texas,35.2%,46.3%,85.8%,4.6%,9.6%
Eastland County,Texas,24.9%,50.9%,80.0%,9.2%,10.7%
Ector County,Texas,40.1%,29.9%,66.4%,18.9%,14.7%
Edwards County,Texas,31.6%,45.6%,78.9%,0.0%,21.1%
Ellis County,Texas,41.0%,36.4%,79.9%,11.1%,9.1%
El Paso County,Texas,40.0%,36.0%,73.1%,21.4%,5.5%
Erath County,Texas,30.0%,36.3%,73.0%,14.5%,12.5%
Falls County,Texas,26.9%,48.7%,82.3%,7.8%,9.9%
Fannin County,Texas,30.8%,47.7%,79.0%,7.7%,13.3%
Fayette County,Texas,24.3%,55.7%,80.2%,4.7%,15.1%
Fisher County,Texas,27.6%,48.7%,87.2%,6.0%,6.7%
Floyd County,Texas,37.3%,45.9%,85.1%,10.9%,4.0%
Foard County,Texas,21.2%,59.7%,86.2%,8.8%,4.9%
Fort Bend County,Texas,46.9%,34.5%,87.3%,10.1%,2.6%
Franklin County,Texas,26.0%,51.3%,84.3%,4.0%,11.7%
Freestone County,Texas,34.5%,47.7%,69.4%,3.8%,26.9%
Frio County,Texas,34.2%,49.8%,72.5%,7.0%,20.5%
Gaines County,Texas,45.3%,31.4%,70.9%,7.8%,21.3%
Galveston County,Texas,33.5%,38.3%,75.2%,19.9%,4.9%
Garza County,Texas,28.8%,48.9%,81.3%,7.1%,11.7%
Gillespie County,Texas,24.2%,60.6%,74.7%,11.4%,13.9%
Glasscock County,Texas,35.4%,43.4%,94.7%,0.0%,5.3%
Goliad County,Texas,25.7%,51.9%,76.2%,5.0%,18.8%
Gonzales County,Texas,33.4%,43.8%,66.4%,8.7%,24.8%
Gray County,Texas,34.9%,39.1%,88.0%,6.9%,5.1%
Grayson County,Texas,32.3%,43.6%,74.2%,15.7%,10.0%
Gregg County,Texas,33.5%,38.8%,68.2%,25.2%,6.6%
Grimes County,Texas,32.2%,46.6%,69.6%,7.2%,23.2%
Guadalupe County,Texas,38.9%,36.4%,79.0%,7.2%,13.7%
Hale County,Texas,38.3%,39.3%,80.2%,13.2%,6.6%
Hall County,Texas,31.5%,46.9%,89.4%,6.1%,4.6%
Hamilton County,Texas,25.0%,56.2%,89.5%,5.7%,4.8%
Hansford County,Texas,40.6%,36.7%,88.2%,6.3%,5.5%
Hardeman County,Texas,25.2%,52.5%,79.2%,11.4%,9.4%
Hardin County,Texas,35.2%,41.9%,66.9%,5.3%,27.8%
Harris County,Texas,37.6%,30.9%,63.2%,34.1%,2.7%
Harrison County,Texas,35.2%,41.9%,69.1%,10.0%,21.0%
Hartley County,Texas,33.5%,40.3%,72.7%,10.5%,16.8%
Haskell County,Texas,29.2%,48.4%,87.9%,4.3%,7.8%
Hays County,Texas,33.1%,30.2%,67.0%,24.6%,8.4%
Hemphill County,Texas,39.7%,42.6%,72.4%,10.4%,17.2%
Henderson County,Texas,28.4%,52.3%,63.3%,8.1%,28.7%
Hidalgo County,Texas,48.4%,35.3%,70.8%,16.4%,12.8%
Hill County,Texas,30.6%,49.9%,74.3%,8.6%,17.0%
Hockley County,Texas,36.3%,39.2%,75.5%,8.6%,15.9%
Hood County,Texas,28.5%,52.3%,74.7%,7.6%,17.8%
Hopkins County,Texas,33.8%,44.1%,76.7%,10.6%,12.7%
Houston County,Texas,29.1%,52.1%,73.6%,7.5%,18.9%
Howard County,Texas,33.7%,35.9%,79.6%,12.6%,7.8%
Hudspeth County,Texas,26.9%,59.4%,57.9%,0.0%,42.1%
Hunt County,Texas,32.6%,42.0%,69.8%,14.0%,16.2%
Hutchinson County,Texas,30.5%,45.0%,83.4%,8.8%,7.8%
Irion County,Texas,27.4%,39.0%,87.6%,1.9%,10.5%
Jack County,Texas,32.4%,45.3%,75.3%,8.6%,16.0%
Jackson County,Texas,32.8%,43.8%,75.4%,6.7%,17.9%
Jasper County,Texas,32.0%,49.0%,66.7%,7.3%,26.0%
Jeff Davis County,Texas,14.3%,70.9%,79.0%,0.0%,21.0%
Jefferson County,Texas,32.1%,38.6%,73.9%,22.9%,3.2%
Jim Hogg County,Texas,38.6%,51.9%,73.1%,12.7%,14.2%
Jim Wells County,Texas,35.9%,42.8%,78.4%,10.2%,11.4%
Johnson County,Texas,38.7%,36.8%,71.1%,10.3%,18.7%
Jones County,Texas,31.4%,46.7%,84.2%,3.0%,12.9%
Karnes County,Texas,31.1%,43.5%,74.8%,10.8%,14.4%
Kaufman County,Texas,43.9%,34.6%,77.9%,9.2%,12.9%
Kendall County,Texas,34.9%,43.2%,84.8%,10.3%,4.9%
Kenedy County,Texas,32.6%,59.7%,100.0%,0.0%,0.0%
Kent County,Texas,28.3%,60.8%,90.2%,0.0%,9.8%
Kerr County,Texas,27.9%,56.0%,66.0%,13.0%,20.9%
Kimble County,Texas,26.2%,63.4%,77.9%,6.8%,15.3%
King County,Texas,34.4%,56.7%,87.8%,2.2%,10.0%
Kinney County,Texas,10.4%,59.3%,74.0%,7.1%,18.9%
Kleberg County,Texas,34.1%,32.7%,71.8%,22.2%,6.0%
Knox County,Texas,28.8%,47.4%,90.3%,5.5%,4.2%
Lamar County,Texas,31.1%,44.3%,77.2%,14.8%,8.0%
Lamb County,Texas,33.8%,40.0%,85.4%,8.4%,6.3%
Lampasas County,Texas,33.2%,46.9%,76.3%,10.7%,12.9%
La Salle County,Texas,31.7%,45.2%,70.8%,5.6%,23.6%
Lavaca County,Texas,30.8%,49.2%,80.0%,5.7%,14.3%
Lee County,Texas,34.5%,46.0%,73.3%,7.0%,19.6%
Leon County,Texas,27.3%,57.4%,58.2%,4.6%,37.2%
Liberty County,Texas,34.8%,40.8%,60.1%,8.3%,31.6%
Limestone County,Texas,32.0%,49.2%,71.0%,10.1%,18.9%
