County,State,Use car/truck/van to go to work,Drove alone,Carpooled,Public Transportation,Walked,Bicycle,Taxicab/motorcycle/other means,Worked from home,Worked within county of residence,Worked outside county of residence,Travel time to work less than 10 minutes,Travel time to work 10 to 14 minutes,Travel time to work 15 to 19 minutes,Travel time to work 20 to 24 minutes,Travel time to work 25 to 29 minutes,Travel time to work 30 to 34 minutes,Travel time to work 35 to 44 minutes,Travel time to work 45 to 59 minutes,Travel time to work 60+ minutes,Mean travel time to work (minutes),0 vehicles available,1 vehicles available,2 vehicles available,3+ vehicles available
Franklin County,Missouri,95.2%,82.8%,12.4%,0.0%,1.4%,0.0%,0.4%,3.0%,63.1%,35.7%,17.9%,13.6%,13.7%,9.4%,5.2%,10.0%,7.0%,11.6%,11.6%,27.1,1.1%,15.5%,39.3%,44.0%
Gasconade County,Missouri,90.8%,78.7%,12.1%,0.5%,3.0%,0.1%,1.0%,4.6%,60.9%,38.1%,27.2%,14.4%,10.3%,8.4%,4.1%,7.5%,6.0%,10.2%,12.0%,27.1,0.6%,13.6%,39.8%,46.0%
Gentry County,Missouri,88.5%,75.2%,13.3%,0.6%,4.4%,0.1%,1.2%,5.3%,66.7%,30.2%,39.0%,11.2%,8.7%,5.8%,4.6%,8.3%,7.0%,7.2%,8.3%,22.2,4.2%,18.6%,28.7%,48.5%
Greene County,Missouri,91.3%,82.3%,9.0%,0.6%,2.8%,0.5%,0.9%,3.9%,91.9%,7.2%,15.0%,19.0%,22.1%,19.4%,6.6%,9.7%,3.0%,2.5%,2.8%,19.4,2.6%,23.4%,46.7%,27.3%
Grundy County,Missouri,85.5%,71.2%,14.3%,0.2%,5.8%,0.0%,1.8%,6.7%,73.4%,25.1%,34.2%,13.9%,11.9%,8.3%,5.4%,11.3%,3.1%,4.5%,7.6%,21.9,6.1%,19.2%,36.7%,38.0%
Harrison County,Missouri,89.7%,78.7%,11.0%,1.1%,1.8%,0.0%,0.7%,6.7%,69.5%,24.5%,31.4%,11.5%,14.3%,12.0%,4.2%,6.2%,5.2%,7.7%,7.5%,22.4,5.5%,12.3%,38.0%,44.1%
Henry County,Missouri,92.3%,79.0%,13.4%,0.8%,1.8%,0.0%,0.5%,4.6%,68.6%,28.2%,28.8%,16.2%,9.9%,6.8%,4.2%,7.6%,5.4%,8.2%,13.0%,26.5,2.6%,17.3%,45.7%,34.5%
Hickory County,Missouri,88.0%,76.9%,11.1%,0.3%,1.5%,0.2%,0.9%,9.1%,52.8%,44.9%,24.4%,8.2%,11.5%,12.4%,4.1%,8.1%,7.5%,7.0%,16.7%,30.7,0.7%,17.8%,41.0%,40.6%
Holt County,Missouri,90.5%,78.7%,11.9%,0.0%,3.3%,0.0%,0.3%,5.8%,59.6%,35.8%,27.8%,11.5%,11.4%,10.2%,4.7%,12.8%,8.4%,7.7%,5.5%,23.4,2.3%,14.9%,39.2%,43.5%
Howard County,Missouri,90.6%,74.2%,16.5%,0.1%,3.1%,0.0%,0.7%,5.5%,47.4%,52.4%,24.3%,9.9%,14.2%,9.4%,2.4%,15.5%,11.1%,7.5%,5.7%,23.8,1.3%,22.3%,39.7%,36.7%
Howell County,Missouri,92.8%,82.8%,10.0%,0.2%,2.8%,0.1%,1.2%,2.9%,90.1%,6.8%,20.5%,18.3%,19.6%,18.9%,3.7%,11.3%,1.3%,3.1%,3.3%,19.2,1.1%,15.5%,46.3%,37.1%
Iron County,Missouri,89.6%,77.7%,12.0%,0.0%,3.4%,0.0%,2.7%,4.3%,55.2%,43.6%,23.0%,12.1%,7.0%,9.2%,7.1%,16.5%,8.6%,6.5%,9.9%,26.9,2.4%,22.1%,41.1%,34.4%
Jackson County,Missouri,90.9%,81.9%,9.0%,2.7%,1.6%,0.2%,1.1%,3.5%,73.8%,8.1%,12.6%,13.6%,16.0%,17.3%,8.2%,16.3%,6.9%,5.8%,3.1%,22.7,3.2%,25.5%,43.6%,27.7%
Jasper County,Missouri,92.2%,81.7%,10.5%,0.2%,2.6%,0.3%,0.9%,3.8%,80.7%,14.3%,22.7%,21.0%,20.6%,14.3%,4.8%,8.7%,2.5%,2.3%,3.0%,17.8,2.5%,19.3%,46.8%,31.4%
Jefferson County,Missouri,95.4%,84.7%,10.8%,0.1%,1.0%,0.1%,0.8%,2.6%,35.5%,62.3%,9.2%,8.8%,11.6%,11.5%,7.2%,16.1%,11.9%,14.7%,9.1%,30.2,1.4%,13.6%,43.2%,41.9%
Johnson County,Missouri,90.7%,79.0%,11.7%,0.6%,4.5%,0.1%,0.6%,3.5%,69.7%,26.2%,24.3%,17.0%,10.9%,8.7%,4.7%,9.0%,5.5%,9.1%,10.8%,27.1,1.6%,18.5%,44.6%,35.3%
Knox County,Missouri,87.4%,75.9%,11.5%,0.0%,4.5%,0.3%,1.6%,6.3%,55.4%,38.8%,26.7%,13.2%,11.3%,7.5%,3.4%,13.0%,3.6%,16.4%,4.9%,23.2,2.1%,12.6%,35.4%,49.9%
Laclede County,Missouri,93.4%,80.7%,12.8%,0.1%,1.5%,0.1%,1.4%,3.4%,80.5%,17.6%,21.6%,19.7%,18.4%,14.1%,3.6%,8.0%,3.1%,5.2%,6.2%,21.2,2.4%,19.7%,41.8%,36.0%
Lafayette County,Missouri,91.1%,78.6%,12.5%,0.2%,1.8%,0.0%,2.8%,4.1%,50.7%,44.4%,24.7%,9.6%,7.8%,8.0%,4.2%,12.2%,9.1%,14.6%,9.7%,28.0,1.3%,15.0%,40.9%,42.7%
Lawrence County,Missouri,92.2%,80.4%,11.8%,0.2%,2.8%,0.2%,0.2%,4.5%,53.7%,45.3%,26.2%,15.3%,12.5%,10.8%,3.5%,12.9%,6.7%,7.7%,4.4%,20.9,2.5%,17.9%,41.7%,37.8%
Lewis County,Missouri,82.1%,69.6%,12.5%,0.4%,9.7%,0.0%,0.6%,7.2%,52.8%,15.7%,30.5%,8.7%,3.5%,8.4%,8.8%,17.7%,8.5%,9.3%,4.6%,23.9,5.5%,14.4%,42.9%,37.2%
Lincoln County,Missouri,95.3%,81.5%,13.8%,0.5%,1.1%,0.0%,0.9%,2.2%,39.7%,58.6%,11.2%,10.8%,9.4%,9.0%,6.3%,11.6%,11.0%,15.8%,14.9%,33.3,1.2%,13.3%,39.7%,45.9%
Linn County,Missouri,90.4%,77.2%,13.2%,0.1%,1.7%,0.2%,1.5%,6.1%,76.8%,20.6%,35.5%,16.0%,12.2%,8.4%,5.4%,12.4%,3.5%,1.9%,4.7%,19.6,2.4%,17.7%,37.7%,42.2%
Livingston County,Missouri,90.3%,83.7%,6.6%,1.0%,1.3%,0.4%,1.4%,5.7%,83.1%,15.2%,37.4%,19.2%,14.1%,7.9%,4.4%,6.6%,2.7%,2.9%,4.7%,17.3,2.9%,20.8%,42.9%,33.4%
McDonald County,Missouri,91.2%,77.4%,13.8%,0.4%,1.1%,0.1%,2.4%,4.8%,45.0%,23.5%,13.7%,8.8%,13.0%,12.0%,5.6%,17.0%,8.3%,14.8%,6.7%,27.6,2.9%,12.4%,47.6%,37.0%
Macon County,Missouri,90.7%,79.7%,11.0%,0.0%,1.9%,0.0%,1.4%,6.0%,70.1%,28.8%,26.3%,17.8%,13.1%,11.0%,6.1%,11.2%,4.9%,3.4%,6.3%,21.8,3.8%,16.7%,45.7%,33.8%
Madison County,Missouri,92.1%,79.7%,12.4%,0.3%,3.7%,0.0%,1.5%,2.4%,61.0%,38.1%,29.8%,13.8%,10.2%,11.2%,5.5%,10.9%,3.3%,5.4%,10.0%,23.8,3.4%,19.0%,43.0%,34.6%
Maries County,Missouri,88.1%,72.6%,15.5%,0.3%,2.1%,0.0%,0.4%,9.0%,36.0%,63.8%,16.8%,5.7%,16.2%,11.4%,4.3%,8.9%,6.8%,22.3%,7.6%,28.2,0.4%,16.1%,36.3%,47.2%
Marion County,Missouri,90.3%,78.8%,11.5%,0.6%,2.8%,0.0%,1.2%,5.0%,75.4%,13.2%,30.9%,22.8%,12.9%,10.1%,4.4%,8.9%,3.6%,2.9%,3.6%,17.7,2.3%,20.1%,47.5%,30.2%
Mercer County,Missouri,86.2%,72.8%,13.4%,0.0%,1.7%,0.3%,1.2%,10.6%,70.5%,24.2%,27.0%,12.7%,19.0%,8.5%,5.2%,15.8%,1.7%,5.6%,4.5%,21.4,4.1%,12.6%,42.0%,41.2%
Miller County,Missouri,88.2%,71.9%,16.3%,0.8%,1.6%,0.0%,4.1%,5.3%,54.2%,44.5%,19.4%,13.0%,13.2%,9.4%,4.5%,15.2%,8.1%,10.5%,6.8%,27.0,3.0%,17.6%,40.5%,38.9%
Mississippi County,Missouri,93.5%,73.8%,19.7%,0.0%,2.2%,0.0%,0.8%,3.5%,64.7%,29.9%,27.3%,18.4%,19.6%,8.6%,5.5%,9.1%,3.1%,4.2%,4.3%,19.4,2.8%,21.2%,49.1%,26.9%
Moniteau County,Missouri,92.7%,76.1%,16.6%,0.0%,1.9%,0.3%,1.4%,3.7%,51.8%,48.1%,27.8%,7.9%,8.0%,9.6%,7.4%,15.4%,7.1%,8.2%,8.7%,25.9,3.0%,12.5%,44.1%,40.3%
Monroe County,Missouri,91.1%,75.9%,15.2%,0.2%,2.4%,0.0%,1.5%,4.8%,44.3%,51.9%,26.9%,7.1%,9.7%,12.7%,6.1%,13.0%,5.2%,10.4%,8.7%,25.7,2.7%,17.0%,42.1%,38.1%
Montgomery County,Missouri,93.0%,80.0%,13.0%,0.2%,2.0%,0.0%,0.2%,4.6%,53.6%,44.2%,20.9%,13.7%,11.2%,7.8%,5.3%,11.7%,6.6%,9.5%,13.4%,28.4,1.1%,15.7%,41.0%,42.3%
Morgan County,Missouri,85.6%,70.1%,15.5%,0.2%,3.5%,1.8%,0.7%,8.3%,59.6%,39.1%,26.9%,10.0%,7.1%,11.9%,4.8%,9.8%,5.3%,11.2%,13.0%,27.1,6.6%,14.0%,44.9%,34.5%
New Madrid County,Missouri,92.8%,82.8%,10.0%,0.0%,2.7%,0.0%,0.7%,3.8%,61.5%,35.8%,31.2%,17.2%,14.0%,11.0%,4.6%,9.2%,4.6%,4.5%,3.8%,18.4,3.2%,21.1%,44.1%,31.7%
Newton County,Missouri,91.0%,79.0%,12.0%,0.0%,1.7%,0.4%,1.9%,5.0%,55.2%,38.7%,17.8%,16.8%,21.0%,13.2%,6.0%,13.7%,3.7%,4.4%,3.4%,20.2,2.3%,16.4%,42.7%,38.7%
Nodaway County,Missouri,87.8%,77.5%,10.3%,0.1%,6.9%,0.3%,0.2%,4.7%,84.5%,11.0%,35.5%,23.4%,10.6%,11.5%,3.6%,5.3%,2.2%,4.9%,2.8%,15.8,2.4%,14.6%,43.2%,39.8%
Oregon County,Missouri,90.6%,78.3%,12.3%,1.4%,2.2%,0.0%,0.9%,5.0%,67.6%,19.0%,29.6%,14.1%,10.3%,8.1%,3.5%,14.0%,4.6%,6.6%,9.2%,27.6,1.4%,15.0%,38.5%,45.1%
Osage County,Missouri,90.0%,72.6%,17.4%,0.0%,1.7%,0.0%,0.5%,7.7%,42.0%,57.7%,15.9%,8.5%,8.3%,12.0%,9.3%,17.8%,13.4%,8.8%,6.0%,26.4,0.6%,12.1%,31.0%,56.3%
Ozark County,Missouri,84.7%,76.5%,8.2%,0.2%,8.6%,0.0%,1.2%,5.2%,60.2%,22.1%,15.6%,9.1%,9.9%,17.2%,3.2%,17.1%,6.9%,14.9%,6.1%,28.5,2.8%,13.3%,41.0%,42.9%
Pemiscot County,Missouri,93.0%,82.9%,10.1%,0.0%,2.4%,0.1%,0.7%,3.8%,71.5%,9.6%,31.4%,18.5%,12.2%,15.4%,4.4%,7.7%,4.2%,5.0%,1.2%,16.4,3.4%,25.6%,40.7%,30.3%
Perry County,Missouri,92.0%,79.5%,12.4%,0.4%,3.7%,0.0%,1.1%,2.9%,73.4%,22.6%,30.4%,18.6%,11.0%,10.0%,3.3%,7.4%,6.2%,5.4%,7.7%,22.2,1.1%,15.1%,38.3%,45.5%
Pettis County,Missouri,92.7%,78.2%,14.5%,0.3%,1.6%,0.2%,0.9%,4.2%,84.8%,14.0%,25.7%,19.9%,18.5%,11.0%,4.9%,7.2%,3.0%,2.3%,7.6%,21.5,1.9%,20.9%,42.0%,35.1%
Phelps County,Missouri,89.3%,77.6%,11.7%,0.3%,5.1%,0.1%,1.7%,3.5%,84.0%,14.6%,28.3%,22.9%,17.0%,11.1%,3.6%,6.1%,3.3%,3.7%,3.9%,17.7,2.7%,19.8%,43.2%,34.3%
Pike County,Missouri,89.6%,77.2%,12.4%,0.1%,2.3%,0.0%,1.9%,6.1%,73.2%,24.7%,32.6%,13.1%,15.3%,8.1%,5.3%,8.1%,4.6%,4.6%,8.3%,21.0,3.6%,17.6%,41.3%,37.5%
Platte County,Missouri,93.4%,84.6%,8.8%,0.8%,0.6%,0.1%,1.0%,4.1%,39.0%,41.2%,13.6%,14.4%,15.6%,17.3%,8.2%,14.8%,8.4%,5.2%,2.5%,22.9,0.9%,19.9%,45.5%,33.7%
Polk County,Missouri,89.7%,79.7%,9.9%,0.4%,3.4%,0.2%,1.0%,5.3%,65.1%,32.2%,29.5%,13.9%,9.8%,8.3%,3.6%,11.0%,5.8%,8.4%,9.8%,26.0,2.5%,16.9%,38.8%,41.8%
Pulaski County,Missouri,64.0%,54.8%,9.1%,0.5%,1.5%,0.3%,1.2%,32.5%,89.8%,8.7%,20.1%,16.0%,21.0%,14.6%,4.7%,11.4%,4.2%,4.1%,3.9%,20.4,2.8%,21.8%,44.7%,30.7%
Putnam County,Missouri,89.3%,78.0%,11.3%,0.7%,0.7%,0.0%,1.0%,8.3%,66.3%,19.4%,30.0%,12.2%,7.5%,12.8%,9.0%,14.5%,5.3%,3.8%,4.9%,20.6,1.5%,16.6%,41.9%,40.0%
Ralls County,Missouri,91.2%,78.9%,12.2%,0.0%,3.0%,0.0%,0.4%,5.5%,33.6%,62.6%,17.6%,17.3%,15.5%,12.0%,7.8%,11.8%,5.2%,7.8%,5.0%,23.3,1.5%,15.1%,39.6%,43.8%
Randolph County,Missouri,91.6%,81.9%,9.6%,0.8%,1.1%,0.3%,1.9%,4.4%,79.6%,19.4%,22.4%,26.2%,15.7%,8.3%,2.7%,8.1%,4.5%,7.3%,4.8%,20.5,2.5%,21.0%,47.4%,29.1%
Ray County,Missouri,93.4%,80.0%,13.4%,0.8%,0.6%,0.1%,0.6%,4.5%,35.2%,59.9%,15.7%,10.3%,8.0%,8.7%,5.3%,10.0%,8.9%,20.3%,12.8%,31.8,1.6%,13.7%,38.6%,46.1%
Reynolds County,Missouri,90.4%,73.2%,17.2%,0.2%,2.8%,0.0%,3.8%,2.9%,75.0%,25.0%,26.4%,8.2%,8.3%,10.3%,3.5%,18.2%,7.2%,7.4%,10.5%,26.1,2.3%,14.2%,44.2%,39.4%
Ripley County,Missouri,91.9%,74.8%,17.1%,0.0%,3.2%,0.0%,1.7%,3.2%,63.5%,29.1%,21.7%,14.4%,12.0%,12.2%,7.6%,14.3%,6.7%,5.9%,5.1%,22.1,1.4%,24.3%,35.9%,38.3%
St. Charles County,Missouri,93.9%,86.8%,7.1%,0.2%,0.9%,0.1%,0.8%,4.2%,48.7%,49.4%,9.7%,13.2%,14.6%,15.6%,8.8%,16.5%,9.5%,8.5%,3.7%,25.0,1.3%,13.4%,48.2%,37.1%
St. Clair County,Missouri,85.0%,71.9%,13.2%,0.5%,5.0%,0.0%,1.1%,8.4%,52.4%,46.4%,26.1%,11.0%,11.3%,6.9%,4.4%,15.7%,8.0%,6.2%,10.4%,25.7,1.8%,10.3%,33.6%,54.3%
Ste. Genevieve County,Missouri,93.2%,82.4%,10.8%,1.0%,1.8%,0.0%,0.2%,3.8%,57.4%,40.6%,19.4%,11.8%,17.0%,10.0%,5.7%,8.9%,5.1%,5.5%,16.4%,28.1,1.3%,12.5%,35.0%,51.2%
St. Francois County,Missouri,94.7%,81.3%,13.4%,0.3%,1.1%,0.2%,0.8%,3.0%,71.5%,26.7%,19.5%,18.5%,16.3%,11.8%,3.6%,8.4%,3.2%,5.4%,13.3%,26.1,1.7%,16.7%,43.7%,37.8%
St. Louis County,Missouri,90.9%,83.4%,7.5%,2.2%,1.5%,0.2%,1.0%,4.2%,70.9%,26.6%,10.8%,12.8%,17.1%,18.7%,8.5%,16.4%,7.3%,5.5%,3.0%,23.2,2.2%,21.7%,46.2%,29.9%
Saline County,Missouri,90.5%,78.6%,11.9%,0.2%,2.8%,1.3%,0.4%,4.8%,82.2%,17.0%,34.4%,18.1%,10.9%,9.0%,6.0%,7.7%,3.1%,3.9%,6.9%,20.4,2.0%,21.9%,42.4%,33.6%
Schuyler County,Missouri,88.3%,72.8%,15.5%,0.0%,1.1%,0.0%,1.6%,9.0%,44.2%,43.7%,17.7%,10.2%,14.1%,11.7%,8.1%,13.4%,6.1%,6.7%,12.0%,26.5,3.8%,19.0%,41.7%,35.5%
Scotland County,Missouri,81.7%,69.4%,12.3%,0.0%,2.5%,1.4%,0.0%,14.3%,72.4%,12.8%,39.6%,9.8%,9.2%,8.0%,0.8%,7.6%,7.6%,8.1%,9.4%,22.6,1.8%,12.7%,36.5%,49.0%
Scott County,Missouri,92.1%,79.4%,12.7%,0.4%,1.1%,0.2%,1.1%,5.1%,61.1%,37.3%,26.4%,18.8%,13.2%,13.0%,5.9%,11.8%,3.3%,4.0%,3.6%,19.1,3.1%,19.6%,41.6%,35.7%
Shannon County,Missouri,91.5%,69.5%,22.0%,0.0%,3.0%,0.0%,2.2%,3.3%,63.1%,33.1%,27.9%,18.3%,13.1%,11.4%,4.7%,8.3%,2.0%,4.7%,9.7%,23.8,1.1%,19.5%,35.0%,44.3%
Shelby County,Missouri,87.6%,74.5%,13.1%,0.6%,4.6%,0.6%,1.2%,5.3%,61.3%,36.5%,34.9%,12.9%,11.2%,8.0%,2.8%,8.9%,5.5%,6.1%,9.6%,24.3,1.6%,17.2%,41.4%,39.8%
Stoddard County,Missouri,93.2%,81.6%,11.6%,0.3%,1.6%,0.0%,1.4%,3.6%,70.5%,28.1%,29.7%,14.2%,14.0%,9.6%,4.1%,12.1%,5.0%,4.8%,6.6%,21.4,1.6%,19.0%,46.3%,33.2%
Stone County,Missouri,92.6%,76.0%,16.6%,0.3%,1.0%,0.0%,0.1%,6.0%,47.3%,49.2%,14.4%,9.0%,9.7%,12.7%,9.5%,16.6%,12.4%,10.2%,5.5%,26.4,1.7%,19.1%,51.2%,28.1%
Sullivan County,Missouri,88.1%,69.1%,19.0%,0.0%,2.7%,0.0%,1.6%,7.7%,76.8%,21.6%,36.8%,13.1%,8.2%,14.3%,4.8%,8.9%,4.0%,6.0%,3.9%,18.4,3.9%,20.6%,35.3%,40.2%
Taney County,Missouri,93.3%,78.9%,14.4%,0.3%,1.7%,0.0%,0.3%,4.4%,87.9%,10.4%,18.0%,16.6%,20.0%,19.4%,5.4%,7.6%,4.6%,4.8%,3.6%,20.3,1.5%,22.5%,48.1%,28.0%
Texas County,Missouri,90.8%,80.6%,10.2%,0.4%,3.2%,0.0%,0.7%,4.9%,65.8%,32.3%,21.5%,14.1%,17.0%,12.7%,4.3%,11.9%,4.5%,7.3%,6.8%,24.4,1.0%,16.3%,40.9%,41.8%
Vernon County,Missouri,87.5%,74.0%,13.6%,0.0%,2.1%,0.2%,2.4%,7.8%,82.3%,11.3%,30.5%,20.5%,18.0%,11.0%,4.5%,6.2%,1.8%,3.6%,3.8%,17.3,1.3%,18.0%,37.5%,43.2%
Warren County,Missouri,94.9%,79.0%,15.9%,0.1%,1.2%,0.0%,0.4%,3.3%,35.5%,63.3%,12.5%,9.3%,12.1%,12.0%,6.9%,12.4%,9.5%,12.8%,12.6%,29.7,1.7%,14.0%,36.9%,47.4%
Washington County,Missouri,95.4%,75.3%,20.2%,0.2%,1.8%,0.1%,1.4%,1.1%,46.6%,50.8%,18.8%,10.1%,12.4%,8.1%,5.0%,11.0%,6.9%,8.2%,19.5%,34.2,1.1%,15.4%,39.6%,43.8%
Wayne County,Missouri,85.6%,75.6%,10.0%,0.6%,3.1%,0.0%,2.5%,8.2%,64.3%,31.9%,24.3%,10.3%,13.4%,7.4%,3.3%,17.6%,8.6%,6.6%,8.6%,25.5,1.5%,19.3%,42.9%,36.3%
Webster County,Missouri,92.7%,79.7%,13.1%,0.4%,1.2%,0.3%,1.0%,4.3%,39.8%,58.3%,14.2%,6.9%,9.3%,11.3%,7.7%,17.1%,10.6%,14.3%,8.7%,30.3,3.9%,14.1%,42.8%,39.2%
Worth County,Missouri,91.1%,80.3%,10.9%,0.0%,4.3%,0.0%,1.2%,3.4%,54.5%,38.8%,31.3%,7.1%,10.6%,9.9%,4.4%,11.6%,9.3%,11.9%,4.0%,22.4,1.3%,10.5%,47.2%,41.0%
Wright County,Missouri,86.2%,74.4%,11.8%,0.0%,3.5%,0.0%,1.4%,8.9%,65.0%,33.7%,25.8%,15.6%,11.1%,9.6%,3.6%,12.2%,3.2%,7.3%,11.6%,24.2,3.2%,16.7%,42.1%,38.0%
St. Louis city,Missouri,81.0%,70.1%,10.9%,10.6%,4.0%,0.7%,1.0%,2.6%,56.6%,40.2%,10.6%,13.7%,18.6%,17.4%,7.4%,14.8%,6.0%,5.6%,6.0%,24.4,9.8%,37.3%,37.9%,15.0%
Beaverhead County,Montana,76.4%,66.1%,10.4%,0.0%,11.1%,1.9%,0.9%,9.5%,94.1%,4.1%,48.6%,21.1%,8.6%,5.8%,2.1%,4.3%,2.4%,4.2%,2.7%,13.7,0.9%,15.9%,38.7%,44.5%
Big Horn County,Montana,84.6%,69.0%,15.6%,0.5%,4.6%,0.6%,0.6%,9.1%,83.8%,15.2%,33.7%,16.7%,15.2%,8.1%,2.0%,9.9%,2.3%,5.0%,7.0%,19.0,1.5%,25.0%,34.6%,38.9%
Blaine County,Montana,79.0%,67.9%,11.1%,0.3%,10.5%,0.1%,1.5%,8.7%,88.4%,10.4%,50.2%,13.9%,10.4%,5.7%,5.9%,5.9%,4.3%,2.5%,1.3%,13.3,3.1%,24.6%,32.0%,40.3%
Broadwater County,Montana,82.5%,71.5%,11.0%,0.0%,8.3%,0.8%,1.4%,7.0%,60.6%,38.5%,34.0%,10.1%,8.4%,4.5%,1.4%,13.3%,6.3%,12.1%,10.0%,25.6,1.2%,13.5%,30.2%,55.1%
Carbon County,Montana,73.7%,61.9%,11.8%,2.8%,10.6%,1.4%,1.1%,10.4%,65.4%,32.0%,34.6%,10.4%,11.1%,8.2%,3.1%,7.1%,6.3%,10.8%,8.4%,23.3,2.7%,12.7%,29.8%,54.7%
Carter County,Montana,56.8%,49.3%,7.5%,0.0%,13.4%,0.7%,0.3%,28.8%,88.1%,7.4%,55.1%,12.4%,7.6%,7.4%,1.4%,7.0%,3.4%,2.4%,3.4%,13.0,0.1%,10.7%,23.7%,65.5%
Cascade County,Montana,90.2%,79.0%,11.2%,1.3%,3.3%,0.7%,0.8%,3.7%,96.4%,2.7%,26.8%,26.7%,20.4%,11.3%,2.5%,5.9%,1.8%,2.1%,2.4%,15.9,2.2%,17.5%,39.7%,40.6%
Chouteau County,Montana,75.3%,64.8%,10.5%,0.1%,9.1%,1.3%,1.6%,12.6%,72.6%,26.4%,41.2%,13.9%,10.1%,6.2%,2.8%,6.0%,4.5%,8.9%,6.4%,18.6,0.4%,15.4%,39.8%,44.4%
Custer County,Montana,89.5%,79.8%,9.6%,0.0%,4.3%,0.7%,0.8%,4.7%,92.2%,6.1%,49.6%,22.3%,10.4%,4.1%,1.6%,4.7%,0.6%,2.7%,4.0%,14.3,3.2%,15.8%,37.8%,43.1%
Daniels County,Montana,64.6%,56.2%,8.5%,0.0%,18.6%,0.4%,0.6%,15.7%,96.0%,3.5%,56.3%,13.8%,8.0%,8.3%,0.7%,5.7%,0.3%,2.6%,4.2%,12.5,1.9%,11.9%,38.9%,47.3%
Dawson County,Montana,86.1%,75.8%,10.3%,0.0%,5.8%,1.2%,0.7%,6.1%,90.2%,7.7%,43.8%,28.2%,7.6%,3.7%,1.3%,5.2%,0.6%,3.1%,6.4%,16.6,2.0%,13.4%,39.7%,44.8%
Deer Lodge County,Montana,76.2%,59.1%,17.1%,2.0%,2.4%,0.2%,0.9%,18.3%,75.0%,24.6%,34.4%,14.9%,11.5%,7.5%,3.1%,13.0%,6.9%,4.0%,4.7%,21.5,1.9%,16.4%,33.2%,48.5%
Fallon County,Montana,81.3%,75.6%,5.7%,0.0%,8.2%,0.0%,0.7%,9.8%,94.6%,3.5%,63.4%,11.4%,4.9%,6.2%,2.3%,6.1%,1.3%,1.2%,3.0%,11.3,0.5%,15.1%,27.9%,56.6%
Fergus County,Montana,86.0%,77.8%,8.2%,0.0%,6.3%,0.0%,1.4%,6.2%,96.3%,3.5%,51.9%,19.8%,8.5%,5.6%,1.1%,5.7%,1.6%,2.9%,2.9%,13.8,1.4%,17.3%,32.4%,48.8%
Flathead County,Montana,86.5%,76.2%,10.4%,0.4%,3.0%,1.0%,1.1%,8.0%,96.3%,2.3%,21.2%,21.1%,17.8%,15.2%,6.7%,10.1%,2.7%,2.6%,2.6%,18.2,1.6%,13.2%,41.1%,44.2%
Gallatin County,Montana,83.0%,70.2%,12.8%,0.8%,5.5%,3.1%,0.8%,6.8%,95.2%,3.9%,24.9%,22.2%,18.8%,13.6%,4.3%,7.4%,1.2%,2.1%,5.4%,18.3,1.9%,17.9%,42.7%,37.4%
Garfield County,Montana,60.3%,49.3%,11.0%,0.0%,10.3%,0.3%,1.4%,27.7%,95.0%,4.7%,59.1%,14.4%,4.9%,6.9%,3.2%,4.3%,2.4%,1.7%,3.0%,11.4,1.2%,13.2%,30.8%,54.7%
Glacier County,Montana,78.5%,64.1%,14.3%,0.0%,7.8%,0.2%,0.2%,13.4%,91.0%,8.6%,56.4%,14.9%,11.1%,2.4%,1.0%,8.8%,0.8%,3.3%,1.3%,11.4,9.6%,24.5%,36.9%,29.0%
Golden Valley County,Montana,71.7%,54.0%,17.7%,0.0%,9.4%,0.0%,0.0%,18.8%,52.9%,47.1%,18.4%,5.1%,7.8%,10.9%,0.0%,16.7%,8.2%,17.4%,15.4%,30.7,0.0%,16.1%,34.1%,49.9%
Granite County,Montana,77.9%,71.6%,6.3%,2.1%,9.7%,0.3%,2.2%,7.8%,64.8%,32.0%,39.5%,10.3%,11.2%,6.4%,2.4%,2.9%,4.6%,11.1%,11.6%,22.2,2.1%,21.0%,31.5%,45.4%
Hill County,Montana,89.1%,76.9%,12.2%,0.1%,6.8%,0.7%,0.8%,2.5%,94.3%,5.3%,41.8%,26.5%,12.2%,4.1%,2.1%,7.3%,1.3%,1.9%,2.7%,14.0,3.4%,15.3%,41.8%,39.5%
Jefferson County,Montana,82.0%,72.0%,10.0%,0.0%,2.2%,0.1%,1.3%,14.4%,42.7%,55.8%,18.7%,13.7%,19.6%,18.4%,6.2%,12.2%,3.6%,4.1%,3.6%,20.1,1.5%,8.9%,35.0%,54.7%
Judith Basin County,Montana,63.2%,57.3%,5.9%,0.0%,14.3%,0.0%,0.0%,22.5%,82.1%,17.0%,44.1%,21.4%,5.2%,4.7%,0.9%,5.0%,3.2%,5.6%,9.8%,18.2,2.0%,8.3%,34.7%,55.0%
Lake County,Montana,84.0%,74.7%,9.3%,0.3%,4.3%,0.5%,1.2%,9.7%,82.6%,15.0%,29.7%,17.2%,16.6%,10.5%,3.9%,8.4%,3.7%,4.2%,5.8%,18.9,1.4%,17.8%,40.2%,40.6%
Lewis and Clark County,Montana,86.8%,73.3%,13.5%,0.3%,5.4%,1.6%,1.5%,4.5%,94.9%,4.1%,22.3%,24.5%,22.9%,14.8%,3.2%,5.3%,1.8%,2.0%,3.4%,17.3,2.3%,17.2%,40.8%,39.7%
